Прайс на дату: 10.03.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Кориця паличка приправа 20гр/ТМ Дух. Хата;шт;1;6.09;6.09;40.00;40.00
Коріандр цілий приправа 20гр/ТМ Дух. Хата;шт;1;2.24;2.24;10.00;10.00
Крем шоколадний 70гр/ТМСмаколик;шт;1;5.54;5.54;5.00;5.00
Кріп зелень приправа 15гр/ТМ Дух. Хата;шт;1;3.71;3.71;54.00;54.00
Кубдарі приправа 20гр/ТМ Грузин.Трад.;шт;1;5.88;5.88;59.00;59.00
Кумин (зіра) приправа 20гр/ТМ Дух. Хата;шт;1;6.44;6.44;40.00;40.00
Куркума мелена Преміум приправа 20гр/ТМ Дух. Хата;шт;1;3.99;3.99;104.00;104.00
Лавровий лист мелений приправа 20гр/ТМ Дух. Хата;шт;1;4.14;4.14;20.00;20.00
Лавровий лист, в/г приправа 20гр/ТМ Дух. Хата;шт;1;4.13;4.13;57.00;57.00
Лемонграсс приправа 10гр/ТМ Дух. Хата;шт;1;3.54;3.54;45.00;45.00
Лимонний перець приправа 20гр/ТМ Дух. Хата;шт;1;5.81;5.81;30.00;30.00
Мак 150гр/ТМ Дух. Хата;шт;1;43.76;43.76;28.00;28.00
Маринад для домашньої птиці 30гр/ТМСмаколик;шт;1;5.25;5.25;30.00;30.00
Маринад для курки 30гр/ТМСмаколик;шт;1;5.25;5.25;25.00;25.00
Маринад для м'яса барбекю 30гр/ТМСмаколик;шт;1;5.57;5.57;10.00;10.00
Маринад для свин з часн. та травам 30гр/ТМСмаколик;шт;1;5.57;5.57;15.00;15.00
Маринад для шашлику 30гр/ТМСмаколик;шт;1;5.57;5.57;2.00;2.00
Маринад до курки з часник.та трав.30гр/ТМСмаколик;шт;1;5.25;5.25;20.00;20.00
Маринад до м`яса та птиці 30гр/ТМСмаколик;шт;1;5.25;5.25;25.00;25.00
Мускатний горіх мелений Екстра 20гр/ТМ Дух. Хата;шт;1;12.84;12.84;5.00;5.00
Мускатний горіх цілий 15гр/ТМ Дух. Хата;шт;1;16.46;16.46;10.00;10.00
Набір для глінтвейну приправа 20гр/ТМ Дух. Хата;шт;1;14.35;14.35;52.00;52.00
Орегано приправа 10гр/ТМ Дух. Хата;шт;1;3.43;3.43;63.00;63.00
Паприка гостра копчена приправа 20гр/ТМ Дух. Хата;шт;1;7.06;7.06;34.00;34.00
Паприка солодка копчена приправа 20гр/ТМ Дух. Хата;шт;1;6.96;6.96;34.00;34.00
Паприка червона мелена приправа 20гр/ТМ Дух. Хата;шт;1;4.10;4.10;109.00;109.00
Перець білий горошок приправа 15гр/ТМ Дух. Хата;шт;1;8.60;8.60;14.00;14.00
Перець духмяний горошок приправа 20гр/ТМ Дух. Хата;шт;1;6.05;6.05;40.00;40.00
Перець духмяний мелений приправа 20гр/ТМ Дух. Хата;шт;1;6.05;6.05;34.00;34.00
Перець зелений горошок приправа 15гр/ТМ Дух. Хата;шт;1;18.86;18.86;14.00;14.00
Перець каєнський мелен. приправа 20гр/ТМ Дух. Хата;шт;1;6.96;6.96;30.00;30.00
Перець рожевий горошок приправа 15гр/ТМ Дух. Хата;шт;1;16.45;16.45;4.00;4.00
Перець Сичуанський приправа 15гр/ТМ Дух. Хата;шт;1;21.63;21.63;15.00;15.00
Перець Чилі мелений приправа 20гр/ТМ Дух. Хата;шт;1;3.57;3.57;39.00;39.00
Перець Чилі різаний приправа 20гр/ТМ Дух. Хата;шт;1;5.21;5.21;45.00;45.00
Перець чорн мел. Екстра приправа 20гр/ТМ Дух. Хата;шт;1;6.23;6.23;36.00;36.00
Перець чорн мел. Екстра приправа 50гр/ТМ Дух. Хата;шт;1;12.88;12.88;39.00;39.00
Перець чорн. мелен. в/г приправа 50гр/ТМ Дух. Хата;шт;1;10.92;10.92;36.00;36.00
Перець чорний горошок приправа 20гр/ТМ Дух. Хата;шт;1;6.97;6.97;104.00;104.00
Перець чорний горошок приправа 50гр/ТМ Дух. Хата;шт;1;13.94;13.94;78.00;78.00
Приправа для курки 30гр/ТМСмаколик;шт;1;5.04;5.04;20.00;20.00
Приправа для м`яса 30гр/ТМСмаколик;шт;1;5.04;5.04;10.00;10.00
Приправа для риби 30гр/ТМСмаколик;шт;1;5.04;5.04;12.00;12.00
Приправа для сала 30гр/ТМСмаколик;шт;1;5.04;5.04;9.00;9.00
Приправа для фаршу та дом. ковбаси 30гр/ТМСмаколик;шт;1;5.04;5.04;10.00;10.00
Приправа для холодцю та заливного 25гр/ТМСмаколик;шт;1;8.54;8.54;51.00;51.00
Приправа для шашлику 30гр/ТМСмаколик;шт;1;5.04;5.04;20.00;20.00
Приправа овочі по-корейські 30гр/ТМСмаколик;шт;1;5.04;5.04;5.00;5.00
Прованські трави приправа 10гр/ТМ Дух. Хата;шт;1;4.03;4.03;66.00;66.00
Розмарин приправа 10гр/ТМ Дух. Хата;шт;1;3.36;3.36;92.00;92.00
Розпушувач харчовий 15гр/ТМ Дух. Хата;шт;1;3.99;3.99;5.00;5.00
Руккола приправа 10гр/ТМ Дух. Хата;шт;1;6.34;6.34;20.00;20.00
Сванська сіль приправа 20гр/ТМ Грузин.Трад.;шт;1;5.88;5.88;40.00;40.00
Середземноморські трави приправа 10гр/ТМ Дух. Хата;шт;1;4.23;4.23;105.00;105.00
"Суміш з корінням ""Сила природи"" 50гр/ТМ Дух. Хата";шт;1;16.03;16.03;41.00;41.00
Суміш овоч. з корін. Універсальн 50гр/ТМ Дух. Хата;шт;1;15.33;15.33;41.00;41.00
Суміш овоч.з корін.до гриб. юшки 50гр/ТМ Дух. Хата;шт;1;20.30;20.30;41.00;41.00
Суміш овочева з корін. до борщу 50гр/ТМ Дух. Хата;шт;1;15.40;15.40;40.00;40.00
Суміш овочева з корін. до супів 50гр/ТМ Дух. Хата;шт;1;14.83;14.83;41.00;41.00
"Суміш""5 перців"" горошок приправа 20гр/ТМ Дух. Хата";шт;1;11.13;11.13;38.00;38.00
"Суміш""5 перців"" мелена приправа 20гр/ТМ Дух. Хата";шт;1;10.78;10.78;10.00;10.00
Тим'ян приправа 10гр/ТМ Дух. Хата;шт;1;3.23;3.23;40.00;40.00
Томат вялений приправа 35гр/ТМ Дух. Хата;шт;1;18.97;18.97;8.00;8.00
Томат з базил. та часн. приправа 20гр/ТМ Дух. Хата;шт;1;9.94;9.94;26.00;26.00
Томат з перц чил та оріг. припр. 20гр/ТМ Дух. Хата;шт;1;9.59;9.59;21.00;21.00
Томат з руккул та смаж кунж. припр.20гр/ТМДух. Хат;шт;1;11.34;11.34;13.00;13.00
Французькі трави приправа 10гр/ТМ Дух. Хата;шт;1;3.77;3.77;64.00;64.00
Хмелі-сунелі приправа 20гр/ТМ Грузин.Трад.;шт;1;5.81;5.81;18.00;18.00
Цибуля порей приправа 10гр/ТМ Дух. Хата;шт;1;3.99;3.99;20.00;20.00
Чабер приправа 10гр/ТМ Дух. Хата;шт;1;3.23;3.23;25.00;25.00
Часник гранульований приправа 20гр/ТМ Дух. Хата;шт;1;9.02;9.02;48.00;48.00
Часниковий перець приправа 20гр/ТМ Дух. Хата;шт;1;6.16;6.16;15.00;15.00
ЛУСКУНЧИК тм;;;;;;
Арахіс смаж. в шкарлупі 130г/10пак./ТМ Лускунчики;шт;1;18.69;18.69; ; 
Арахіс смаж. в шкарлупі 55г/20пак./ТМ Лускунчики;шт;1;7.98;7.98;28.00;28.00
Арахіс смаж. в шкарлупі 70г/20пак./ТМ Лускунчики;шт;1;9.43;9.43;47.00;47.00
Арахіс смаж.СОЛЬ 30г/20пак./ТМ Лускунчики;шт;1;4.34;4.34;1.00;1.00
Арахіс у хруст.скор.ВАСАБІ 80г/10пак/ТМ Лускунчики;шт;1;9.69;9.69; ; 
Арахіс у хруст.скор.КУРКА  80г/10пак/ТМ Лускунчики;шт;1;9.69;9.69; ; 
Арахіс у хруст.скор.СИР 80г/10пак/ТМ Лускунчики;шт;1;8.78;8.78;2.00;2.00
Арахіс у хруст.скор.СМЕТЗЕЛ80г/10пак/ТМ Лускунчики;шт;1;9.68;9.68;89.00;89.00
Насіння сон.смаж.80г/20пак./ТМ Лускунчики;шт;1;4.42;4.42;1.00;1.00
Насіння сон.смаж.СОЛЬ120г/15пак./ТМ Лускунчики;шт;1;10.29;10.29;54.00;54.00
Насіння сон.смаж.СОЛЬ70г/30пак./ТМ Лускунчики;шт;1;6.16;6.16;4.00;4.00
Ядро сон.смаж. СОЛЬ 50г/15пак./ТМ Лускунчики;шт;1;3.50;3.50;65.00;65.00
Ядро сон.смаж.250г/12пак./ТМ Лускунчики;шт;1;13.39;13.39; ; 
Ядро сон.смаж.50г/15пак./ТМ Лускунчики;шт;1;3.29;3.29;1.00;1.00
ОКЕАН ІЗОБІЛІЯ;;;;;;
"1000г Павутинка ТЕМНА  ТМ ""ОІ""";пак;1;415.80;415.80;5.00;5.00
"500г Crispy в соєвому соусі з кунжутом ТМ ""ОІ""";пак;1;52.14;52.14;4.00;4.00
"500г Crispy Сир ТМ ""ОІ""";пак;1;48.84;48.84;7.00;7.00
"500г Crispy Сметана та зелень ТМ ""ОІ""";пак;1;97.68;97.68;13.00;13.00
"500г Ікряник палочки ТМ ""ОІ""";пак;1;147.84;147.84;5.00;5.00
"500г Павутинка ТМ ""ОІ""";пак;1;210.54;210.54;4.00;4.00
"АКЦІЯ Насііння  ""Щелкунчики "" 60г* 50 шт.ТМ ""ОІ""";шт;1;0.01;0.01;21.00;21.00
