Прайс на дату: 10.03.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Парижанка цукр.глаз. печиво 2,2кг/ЖорОбж(181);кг;2.2;57.51;126.52;6.60;3.00
РІО КАКАО з начин. цукр. печиво 4,0кг/ЖорОбж(50);кг;4;44.76;179.04;40.00;10.00
РІО МОЛОКО з начин. цукр. печиво 4,0кг/ЖорОбж(49);кг;4;44.76;179.04;16.00;4.00
РІО МОЛОКО-КАКАОцукр.з нач.печ.4,0кг/Жорик Обжорик;кг;4;44.76;179.04; ; 
Солодка ніч цукр. з как печ.3,5кг/ЖорОбж(69);кг;3.5;47.84;167.42;21.00;6.00
Солодка ніч цукр. з мол. начин.3,5кг/ЖорОбж(68);кг;3.5;46.47;162.65;17.50;5.00
Фруктов.вальс вишня цукр з нач печ3,5кг/ЖорОбж(54);кг;3.5;45.03;157.61;52.50;15.00
Фруктов.вальс полун. цукр. печ.3,5кг/ЖорОбж(59);кг;3.5;45.03;157.61;28.00;8.00
ЗАХІД ТОРГ;;;;;;
Глаза Вампир льодНЕОН+Св.палоч.10г*8бл.*48шт/ЗАХІД;блок;1;187.40;187.40;7.00;7.00
Жув.гум Хуба буба 5пл.Турб Микс 10г*30бл*20ш/ЗАХІД;блок;1;93.43;93.43;60.00;60.00
Жув.гумк в банке TURBO с наклейк 4г*6бл*300ш/ЗАХІД;блок;1;314.50;314.50;4.00;4.00
Жув.гумк Хуба буба Турбо Микс 10г*30бл*20ш/ЗАХІД;блок;1;90.32;90.32; ; 
Жув.гумка Centr shock Апель кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;1.00;1.00
Жув.гумка Centr shock Кавун кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;6.00;6.00
Жув.гумка Centr shock Полун.кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;8.00;8.00
Жув.гумка JAW Craker тути-фрут24г*12бл.*24шт/ЗАХІД;блок;1;112.90;112.90;8.00;8.00
Жув.гумка Love is Нептун накл 4г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;8.00;8.00
Жув.цукерка Електро Шок  5г*20бл.*60шт/ЗАХІД;блок;1;82.25;82.25;2.00;2.00
Жуйка Веселий кавун  4,5г*15бан*150шт/ЗАХІД;блок;1;120.12;120.12;15.00;15.00
ІграшкSUPER Бокс вел ігр+фрук др 4г*6бл*12ш/ЗАХІД;блок;1;473.23;473.23;12.00;12.00
Іграшка Модна тачка+драже 1г*24бл*30шт/ЗАХІД;блок;1;112.29;112.29;24.00;24.00
Кисла пятка Льод +Шокир.пудра10г*12бл.*48шт/ЗАХІД;блок;1;156.41;156.41;12.00;12.00
Лед-ць газиров НЕОН+сяюча пал.10г*24бл.*30шт/ЗАХІД;блок;1;106.28;106.28;23.00;23.00
Модна помадк LOL льод.+ліхтар. 5г*24бл.*30шт/ЗАХІД;блок;1;109.79;109.79;24.00;24.00
Питоны в пакете 6шт*1,8кг /ЗАХІД;шт;1;257.44;257.44;4.00;4.00
Пузирі громадна палка 40см*6уп*24шт/ЗАХІД;блок;1;612.86;612.86;1.00;1.00
Турбо машинка фігур.KING EGGG 15г*12бл.*24шт/ЗАХІД;блок;1;154.00;154.00;10.00;10.00
Цукерка Токсическ.слизь кисла 25г*30бл.*20шт/ЗАХІД;блок;1;88.66;88.66;4.00;4.00
Шпигун.ручка + фрукт.драже 2г*12бл.*24шт/ЗАХІД;блок;1;270.14;270.14; ; 
Ласощі;;;;;;
Карамель Фрутт. Мікс з начин.Фас 4*1кг/Ласощі/9міс;кг;1;51.94;51.94;149.00;149.00
Фруктово-ягідна в цукрі 2,5кг/ Ласощі/міс;кг;2.5;48.10;120.25; ; 
ЛІСОВА КАЗКА;;;;;;
WHIMSY банан (Смешарики) ВАФ.ц-ки 2,2кг /ТМ ЛК;кг;2.2;81.19;178.62; ; 
WHIMSY зі смаком Паннакотти ц-ки 2,2кг /ТМ ЛК;кг;2.2;76.94;169.26;4.40;2.00
WHIMSY зі смаком Шарлотки ц-ки 2,2кг /ТМ ЛК;кг;2.2;76.94;169.26;6.60;3.00
WHIMSY молочні  (Фіксики) ВАФ.ц-ки 2,2кг /ТМ ЛК;кг;2.2;81.19;178.62;48.40;22.00
Ананасні цукерки екран 2,2кг /ТМ ЛК;кг;2.2;78.79;173.35; ; 
Вафлі Артек ЕКРАН 3,5 кг  /ТМ ЛК;кг;3.5;52.79;184.75; ; 
Вафлі Артек Харківський 3,5 кг  /ТМ ЛК;кг;3.5;51.55;180.42;3.50;1.00
Вафлі Лісові з аром. лимона 3,5 кг  /ТМ ЛК;кг;3.5;52.40;183.40; ; 
Вафлі Лісові з аром. лимона 6,0 кг /ТМ ЛК;кг;6;48.38;290.25; ; 
Ведмедик клишоногий  цукерки ваф.2,2кг екр. /ТМ ЛК;кг;2.2;76.94;169.26;33.00;15.00
Веселий гулівер цукерки 2,2кг /ТМ ЛК;кг;2.2;73.92;162.62; ; 
Веселий гулівер цукерки екран 2,2кг /ТМ ЛК;кг;2.2;74.92;164.83; ; 
Гулівер Мандрівник ваф. цукерки 2,2кг /ТМ ЛК;кг;2.2;68.73;151.21;70.40;32.00
Драже кремове 3*1кг/3кг  /ТМ ЛК;кг;1;169.43;169.43;95.00;95.00
Драже молочно-шоколадим 4*1кг/4кг/ТМ ЛК;кг;1;263.08;263.08; ; 
Зефір жув. Тучки ароматиз. глазур. 1,05кг  /ТМ ЛК;кг;1.05;106.73;112.07;2.10;2.00
Зефір жув. Тучки-Штучки аром. 1,2кг  /ТМ ЛК;кг;1.2;97.06;116.47;9.60;8.00
Зірочки Бекон фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;39.86;47.83; ; 
Кільця ГРИБИ  фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;39.86;47.83; ; 
Крекер брезель з сіллю 1,5кг /ТМ ЛК;кг;1.5;57.35;86.03;7.50;5.00
Кульок МЯСО фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;39.86;47.83; ; 
Лісова казка цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;67.57;148.65; ; 
Мультісі КОКОС-ВЕРШКИ цукерки ваф.екр.2,2кг /ТМ ЛК;кг;2.2;76.94;169.26;8.80;4.00
Пастушок Джотто ваф. цукерки 2,2кг /ТМ ЛК;кг;2.2;71.21;156.66;11.00;5.00
Подушечки  круп'яні  банан  1,8кг /ТМ ЛК;кг;1.8;55.81;100.45;14.40;8.00
Подушечки  круп'яні апельсин  1,8кг/ТМ ЛК;кг;1.8;55.81;100.45;18.00;10.00
Подушечки  круп'яні вишня 1,8кг/ТМ ЛК;кг;1.8;55.81;100.45;18.00;10.00
Подушечки круп'яні  шоколад 1,8кг /ТМ ЛК;кг;1.8;55.81;100.45;12.60;7.00
Супермультісі асорті  цукерки 6*1,0кг/6кг /ТМ ЛК;кг;1;74.77;74.77;3.00;3.00
Трубочки ваф. Молочні 2,5кг /ТМ ЛК;кг;2.5;64.94;162.35;5.00;2.00
Трубочки круп Чорного шок. та молока  2,0кг /ТМ ЛК;кг;2;63.78;127.56; ; 
Трубочки круп. Кави та молока  2,0кг /ТМ ЛК;кг;2;63.78;127.56;10.00;5.00
Трубочки круп. Чорного шок. та вишні  2,0кг /ТМ ЛК;кг;2;63.78;127.56;10.00;5.00
Трубочки круп. ШОКОЛАД 2,6кг /ТМ ЛК;кг;2.6;79.72;207.28;20.80;8.00
Трубочки круп.ПЛОМБІР 1,7кг /ТМ ЛК;кг;1.7;60.14;102.24;3.40;2.00
Трубочки круп.ПЛОМБІР 2,6кг /ТМ ЛК;кг;2.6;79.72;207.28;10.40;4.00
Трубочки круп.ШОКОЛАД  1,7кг /ТМ ЛК;кг;1.7;60.14;102.24;3.40;2.00
Тузик цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;71.44;157.17;28.60;13.00
"Фруктозаврики асорті цукерки жув.6*1;6кг /ТМ ЛК";кг;1;82.82;82.82; ; 
Цукерки жуйні ФіксіМіх 6*1кг/6кг  /ТМ ЛК;кг;1;90.48;90.48;4.00;4.00
Чарівне більчатко з арах. ц-ки екран 2,2кг /ТМ ЛК;кг;2.2;81.19;178.62;92.40;42.00
Чарівниця зима ваф. ц-ки глазур. 2,2кг /ТМ ЛК;кг;2.2;67.34;148.16;33.00;15.00
Шиколетто згущ.молоко  цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;71.44;157.17;132.00;60.00
Шиколетто какао цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;71.44;157.17; ; 
Яринка цукерки верш-полун. смак. 2,2кг /ТМ ЛК;кг;2.2;71.44;157.17;24.20;11.00
яфасовка;;;;;;
АКЦІЯ Веселий гулівер цукерки 12* 0,500 кг /ТМ ЛК;шт;1;0.01;0.01;3.00;3.00
"АКЦІЯ Драже горіхове  20*150г;3кг /ТМ ЛК";шт;1;0.01;0.01;14.00;14.00
"АКЦІЯДраже молочно-шоколадим см.20*150г;3кг /ТМ ЛК";шт;1;0.01;0.01;30.00;30.00
"АКЦІЯДраже молочно-шоколадимсм.50*50г;2,5кг /ТМ ЛК";шт;1;0.01;0.01;29.00;29.00
Веселий гулівер цукерки 12* 0,500 кг /ТМ ЛК;шт;1;42.76;42.76; ; 
Гулівер Мандрівник цукерки 12* 0,500кг*6кг /ТМ ЛК;кг;0.5;71.75;35.87;119.50;239.00
"Драже горіхове  20*150г;3кг /ТМ ЛК";шт;1;66.25;66.25;48.00;48.00
"Драже молочно-шоколадим см. 20*150г;3кг /ТМ ЛК";шт;1;49.07;49.07;27.00;27.00
"Драже молочно-шоколадим см. 50*50г;2,5кг /ТМ ЛК";шт;1;18.19;18.19;130.00;130.00
Зеф.Жув.MiniSnowMall пломб,ваніл 5*0.6кг*3кг/ТМ ЛК;шт;1;104.44;104.44;4.00;4.00
"Зеф.Жув.MiniSnowMallпломб,ваніл18*70гр;1,26кг/ТМЛК";шт;1;21.75;21.75;36.00;36.00
ЗефЖув.Сonf.Marsh.popsПЕРСИК3*(12*35г)1,26кг/ТМ ЛК;блок;1;171.83;171.83;5.00;5.00
ЗефЖув.СonfесtumKids полун, банан 20*50г*1кг/ТМ ЛК;шт;1;6.19;6.19;11.00;11.00
ЗефЖувСonf.Marsh.popsСЕНДВІЧ3*(12*35г)1,26кг/ТМ ЛК;блок;1;171.83;171.83;10.00;10.00
ЗефЖувСonfесtum з аром полун4*(24*15г)*1,44кг/ТМЛК;блок;1;92.88;92.88;11.00;11.00
Зефір жув. Mini Mallows пломбір 4*0.8кг*3,2к/ТМ ЛК;шт;1;132.63;132.63; ; 
Зефір жув. Multicored аром. 5*0.6кг*3кг/ТМ ЛК;шт;1;111.41;111.41;2.00;2.00
Зефір жув. Вес.пружин.ПОЛУН.12*0,200/2.4кг  /ТМ ЛК;шт;1;19.41;19.41;4.00;4.00
Зефір жув. Вес.пружин.ПОЛУН.20*0,075/1,5кг  /ТМ ЛК;шт;1;8.01;8.01;46.00;46.00
"Зефір жув. Тучки-штучки аромат.12*200г;2,4кг/ТМ ЛК";шт;1;19.41;19.41;14.00;14.00
"Зефір жув. Тучки-штучки аромат.20*75г;1,5кг /ТМ ЛК";шт;1;8.01;8.01;80.00;80.00
Зефір жув.Барбекю ван.8*0,25кг /2кг/ТМ ЛК;шт;1;24.26;24.26; ; 
"Зефір жув.Дозки Confectum ар.16*62.5г; 1кг /ТМ ЛК";шт;1;5.81;5.81; ; 
"Зефір жув.Дозки аромат.20*50г; 1кг /ТМ ЛК";шт;1;6.19;6.19;280.00;280.00
Зефір жув.Дозки аромат.6*(6*50г) 1,8кг /ТМ ЛК;блок;1;34.44;34.44; ; 
Зефір жув.Зефирозиво пол.+бан4*(20*15г)1,2кг/ТМ ЛК;блок;1;72.76;72.76;32.00;32.00
Зефір жув.Пружинка ПЕРСИК 4-(20*15г) 1,2кг /ТМ ЛК;блок;1;66.56;66.56;16.00;16.00
Зефір жув.Пружинка ПОЛУНИЦЯ4-(20*15г) 1,2кг /ТМ ЛК;блок;1;66.56;66.56;12.00;12.00
Зефір жув.Фіксі Mallows абрикос 24*30г*0,720/ТМ ЛК;шт;1;4.95;4.95;26.00;26.00
Зефір жув.Фіксі Mallows пломбір 24*30г*0,720/ТМ ЛК;шт;1;4.95;4.95;18.00;18.00
Зефір жув.Фіксі Mallows полун. 24*30г*0,720/ТМ ЛК;шт;1;4.95;4.95;16.00;16.00
Зефір.жув. Крейдочки суниця (12*0,2г) 2,4кг/ТМ ЛК;шт;1;19.41;19.41;36.00;36.00
Зефір.жув. Крейдочки суниця 20*0,075г, 1,5кг/ТМ ЛК;шт;1;8.01;8.01;26.00;26.00
"Карамель льод.Фіксики"" 8-0,9кг(30*30г) 7,2кг/ТМ ЛК";блок;1;126.94;126.94; ; 
Крекер брезель СІЛЬ  20*200 г*4кг/ТМ ЛК;шт;1;14.40;14.40;22.00;22.00
Крекер брезель солодкий 25*40 г*1кг/ТМ ЛК;шт;1;4.33;4.33;62.00;62.00
Набір зеф.жув Асортимент №2 21*0,75кг*1,575 /ТМ ЛК;шт;1;7.26;7.26; ; 
"Набір подарунк. ""Ліхтарик""4*0,5кг; 2кг/ТМ ЛК";шт;1;98.92;98.92; ; 
"Набір подарунк. ""Супер Кейс"" 11*110г;1,21кг/ТМ ЛК";шт;1;28.64;28.64; ; 
"Набір подарунк. ""Фіксики"" 6*275г;1,65кг/ТМ ЛК";шт;1;63.93;63.93; ; 
"Набір подарунк.""Теремок"" 6*350г; 2,1кг/ТМ ЛК";шт;1;68.58;68.58; ; 
"Набір подарунк.""Ялинка"" 16*200г; 3,2кг/ТМ ЛК";шт;1;46.59;46.59; ; 
Торт НАТУСІК фундук 6*(12*45г)-3,24кг  /ТМ ЛК;блок;1;68.73;68.73;3.00;3.00
Тортік НАТУТІК з фундуком 6*(12*45г)-3,24кг /ТМ ЛК;блок;1;63.16;63.16; ; 
"Фартики -змійки цукерки желе ТУБ 6*0,5;3кг  /ТМ ЛК";шт;1;64.09;64.09;13.00;13.00
"Фартики -черв'яки цукерки желе 6*0,5;3кг  /ТМ ЛК";шт;1;64.09;64.09;14.00;14.00
Цукерки жуйні ФіксіМіх (8-0,6кг) 4,8кг/ТМ ЛК;блок;1;152.32;152.32; ; 
ЛІСОВА КАЗКА АКЦІЯ;;;;;;
"Драже з повітряним рисом 1/1000; 5*1кг; 5кг /ТМ ЛК";шт;1;154.43;154.43;42.00;42.00
СВІТ КОМПАНІ;;;;;;
Американо з шокол.здоб печ 2,5 кг/ТМ Світ Компані;кг;2.5;55.01;137.52; ; 
Американо здобне печиво 2,5 кг/ТМ Світ Компані;кг;2.5;52.32;130.80;2.50;1.00
Амурчик в пудрі пісоч  печ.1,0 кг/ТМ Світ Компані;кг;1;46.18;46.18;3.00;3.00
Амурчик в пудрі пісоч. печиво 3 кг/ТМ Світ Компані;кг;3;41.67;125.02;21.00;7.00
Амурчик пісочне печиво 3,0 кг ТМ Світ Компані;кг;3;43.10;129.29;18.00;6.00
Арабська ніч глаз. печиво 0,9кг/ТМ Світ Компані;кг;0.9;71.79;64.61; ; 
Асоль глаз. печиво 2,5кг/ТМ Світ Компані;кг;2.5;69.33;173.33; ; 
Ведмедик в пудрі пісоч. печ 3,0кг/ТМ Світ Компані;кг;3;41.67;125.02;21.00;7.00
Ведмедик в шокол глаз печив 3,0 кг/ТМ Світ Компані;кг;3;65.52;196.57;24.00;8.00
Ведмедик у шокол. глаз.печ. 0,9 кг/ТМ Світ Компані;кг;0.9;71.22;64.10;7.20;8.00
Вівсяне ГОСТ здоб. печиво 2,5кг/ТМ Світ Компані;кг;2.5;41.39;103.46;12.50;5.00
Віола печиво  0,9 кг/ТМ Світ Компані;кг;0.9;55.98;50.38; ; 
Віола печиво  3,0 кг/ТМ Світ Компані;кг;3;50.42;151.25; ; 
Волошка пісочне печиво 1,0кг/ТМ Світ Компані;кг;1;45.89;45.89;5.00;5.00
Волошка пісочне печиво 3,0кг/ТМ Світ Компані;кг;3;41.37;124.12;18.00;6.00
Гармонія глазур. печиво 3,0 кг/ТМ Світ Компані;кг;3;59.35;178.04;39.00;13.00
До кави глазуров. печиво 4,0 кг/ТМ Світ Компані;кг;4;55.67;222.70;36.00;9.00
До чаю пряжене молок печиво 4,0 кг/ТМ Світ Компані;кг;4;35.24;140.94; ; 
До чаю шоколадне печиво 4,0 кг/ТМ Світ Компані;кг;4;39.91;159.62; ; 
Дует печиво 4,0 кг/ТМ Світ Компані;кг;4;43.12;172.48; ; 
Кільце глазуров. печиво 3,0 кг/ТМ Світ Компані;кг;3;59.35;178.04;15.00;5.00
Колібрі пісочне печиво 3,0кг/ТМ Світ Компані;кг;3;41.08;123.24;21.00;7.00
Крихітка пісочне печиво 3,0 кг/ТМ Світ Компані;кг;3;42.39;127.18;27.00;9.00
Кураб`є пісоч. печиво 1,0 кг/ТМ Світ Компані;кг;1;47.67;47.67; ; 
Кураб`є пісочне печиво 3,0 кг/ТМ Світ Компані;кг;3;43.08;129.24; ; 
Кураж глазур. печиво 2,0 кг/ТМ Світ Компані;кг;2;68.55;137.11; ; 
Ласун з апельс. начин печив 4,0 кг/ТМ Світ Компані;кг;4;40.96;163.85;32.00;8.00
Ласун з апельс. начин. печ. 1,0кг/ТМ Світ Компані;кг;1;47.44;47.44; ; 
Ласун з банан начин.  печиво 4кг/ТМ Світ Компані;кг;4;40.96;163.85; ; 
Ласун з банан начин.печиво 1,0кг/ТМ Світ Компані;кг;1;47.44;47.44; ; 
Ласун з ванільн. начин. печиво 4кг/ТМ Світ Компані;кг;4;40.96;163.85;24.00;6.00
Ласун з вишнев начин. печиво 4,0кг/ТМ Світ Компані;кг;4;40.96;163.85;76.00;19.00
Ласун з малин. начин. печиво 4,0кг/ТМ Світ Компані;кг;4;40.96;163.85;32.00;8.00
Леді Блек глазур. печиво 3,0 кг/ТМ Світ Компані;кг;3;62.41;187.22;21.00;7.00
Марсель глаз. печиво 0,9 кг/ТМ Світ Компані;кг;0.9;71.24;64.11; ; 
Марсель глаз. печиво 3,0 кг/ТМ Світ Компані;кг;3;65.61;196.84; ; 
Ніжність печиво 0,9 кг/ТМ Світ Компані;кг;0.9;68.66;61.79; ; 
Обжора з абрик. начин печиво 4,0кг/ТМ Світ Компані;кг;4;36.85;147.39;20.00;5.00
Обжора з полун. начин. печив 4,0кг/ТМ Світ Компані;кг;4;36.85;147.39;28.00;7.00
Рибки в пудрі пісочн печиво 3,0 кг/ТМ Світ Компані;кг;3;41.67;125.02;27.00;9.00
Смуглянка печиво 0,9 кг/ТМ Світ Компані;кг;0.9;57.65;51.88; ; 
Сніжок пісочне печиво 0,8 кг/ТМ Світ Компані;кг;0.8;48.13;38.50;4.80;6.00
Сніжок пісочне печиво 3,0 кг/ТМ Світ Компані;кг;3;41.08;123.24; ; 
Столичне глазуров. печиво 3,0 кг/ТМ Світ Компані;кг;3;56.92;170.75;21.00;7.00
Чародійка печиво 4,0 кг/ТМ Світ Компані;кг;4;45.26;181.04; ; 
Чемпіон  печиво 3,5 кг/ТМ Світ Компані;кг;3.5;35.44;124.05;14.00;4.00
Ювілейне з горіхом печиво 4,0кг/ТМ Світ Компані;кг;4;37.86;151.43; ; 
Ювілейне кокос печиво 4,0кг/ТМ Світ Компані;кг;4;35.55;142.20; ; 
я Фасовка;;;;;;
До чаю пряж. мол. печиво 0,185 кг/ТМ Світ Компані;шт;1;6.75;6.75; ; 
Сергис;;;;;;
Антошка тістечко 2кг Сергис 60дн;кг;2;62.50;124.99; ; 
Аромат миндаля печиво 3,0кг Сергис;кг;3;49.73;149.18; ; 
Ассорти №1 печиво 0,750кг Сергис 45дн;кг;0.75;60.21;45.16;12.00;16.00
Ассорти №2 печиво 0,8кг Сергис;кг;0.8;53.95;43.16;16.80;21.00
Ассорти №3 печиво 0,8кг Сергис;кг;0.8;56.38;45.10; ; 
Ассорти №4 печиво 0,7кг Сергис;кг;0.7;58.15;40.70;11.20;16.00
Ассорти №5 печиво 0,780кг Сергис;кг;0.78;62.48;48.73;14.82;19.00
Ассорти №6 печиво 0,690кг Сергис;кг;0.69;68.74;47.43;11.73;17.00
Бантик печиво 1,5кг Сергис;кг;1.5;50.48;75.71; ; 
Березка рулет тістечко 1,5кг Сергис 15дн;кг;1.5;63.84;95.76; ; 
Болеро печиво 2кг Сергис;кг;2;51.58;103.17;16.00;8.00
Буратино печиво 1,5кг Сергис;кг;1.5;53.14;79.70;21.00;14.00
Бусинка печиво 2,5 кг Сергис;кг;2.5;43.81;109.52;7.50;3.00
Вівсяне печиво 2,5кг Сергис;кг;2.5;34.99;87.48;72.50;29.00
Вікторія тістечко 2кг Сергис 15дн;кг;2;66.53;133.06;6.00;3.00
Волна печиво 2,5кг Сергис 60дн;кг;2.5;43.81;109.52;42.50;17.00
Гномик печиво 2,5кг Сергис;кг;2.5;43.81;109.52;12.50;5.00
Горіхове печиво 1,7кг Сергис;кг;1.7;60.26;102.45;11.90;7.00
Дубочек тістечко 2,0 кг Сергис 15дн;кг;2;63.84;127.68;14.00;7.00
Дюймовочка печиво 2,5кг Сергис;кг;2.5;47.05;117.62;25.00;10.00
Дюймовочка печиво 2,7кг Сергис;кг;2.7;45.36;122.47; ; 
Ёжик печиво 3,0 кг Сергис;кг;3;48.99;146.98;33.00;11.00
Екзотика лимон Тістечко 2,0кг Сергис;кг;2;67.87;135.74;8.00;4.00
Капелька  печиво 1,5кг Сергис;кг;1.5;49.51;74.26;15.00;10.00
Капитошка печиво 2,5кг Сергис;кг;2.5;53.27;133.18;7.50;3.00
Капитошка-веселка печиво 2,5кг Сергис;кг;2.5;53.27;133.18; ; 
Каприз тістечко 0,9кг Сергис;кг;0.9;65.86;59.27;0.90;1.00
Кармен Тістечко 2,0кг Сергис 15дн;кг;2;66.53;133.06; ; 
Карпатики-Сергис Тістечко 1.5кг Сергис 15дн;кг;1.5;63.43;95.15; ; 
Кільце цукрове печиво 2,5кг Сергис;кг;2.5;44.46;111.14;37.50;15.00
Кокетка печиво 3кг Сергис;кг;3;60.66;181.97; ; 
Коровка  печиво 2,0кг Сергис;кг;2;49.25;98.50; ; 
Кукурудзяне печиво 2,2кг Сергис 30дн;кг;2.2;43.16;94.95;19.80;9.00
Лакомка печиво 2,2кг Сергис;кг;2.2;62.21;136.86;30.80;14.00
Ласуня тістечко 2,0кг Сергис;кг;2;63.84;127.68; ; 
Ласуня тістечко1,5кг Сергис;кг;1.5;63.84;95.76; ; 
Магнолія печиво 3кг Сергис;кг;3;52.62;157.87;27.00;9.00
Мальва печиво 3кг Сергис;кг;3;46.66;139.97;3.00;1.00
Матроскин печиво 1,4кг Сергис;кг;1.4;54.43;76.20;19.60;14.00
Меренга в ассортименті печиво 1,1кг Сергис 60дн;кг;1.1;55.22;60.74;15.40;14.00
Меренга в ассортименті печиво 1,2кг Сергис 60дн;кг;1.2;55.22;66.26; ; 
Милашка печиво 2,5кг Сергис;кг;2.5;44.06;110.16; ; 
Минутка печиво 2,5кг Сергис;кг;2.5;43.81;109.52;47.50;19.00
Монро печиво (безе) 1,0 кг Сергис;кг;1;56.77;56.77;4.00;4.00
Нести печиво 1,35кг Сергис;кг;1.35;62.21;83.98;18.90;14.00
Орешек печиво 2 кг Сергис (30);кг;2;55.08;110.16;12.00;6.00
Перлина печиво 3 кг Сергис 60дн;кг;3;47.82;143.45;36.00;12.00
Пчелка Тістечко 1,5кг Сергис 30дн;кг;1.5;71.90;107.86;31.50;21.00
Сашенька тістечко 1,5 кг Сергис;кг;1.5;57.79;86.69;1.50;1.00
Сашенька тістечко 2,0 кг Сергис;кг;2;57.79;115.58;32.00;16.00
ФієстаТістечко 2кг Сергис;кг;2;65.18;130.37; ; 
Чебурашка тістечко 1,5 кг Сергис;кг;1.5;59.14;88.70; ; 
Чебурашка тістечко 2,0 кг Сергис;кг;2;59.14;118.27;10.00;5.00
Штрудель вишня тістечко 1,5кг Сергис;кг;1.5;76.61;114.91;7.50;5.00
Эклер со сливками 2 кг Сергис;кг;2;68.54;137.09;22.00;11.00
Стимул;;;;;;
"АКЦІЯМармел. Желейн. формов 1,0кг/ КФ""Стимул""(419)";кг;1;0.01;0.01;3.00;3.00
"Арахіс Рижик 3кг КФ ""Стимул""(68)";кг;3;63.06;189.19;174.00;58.00
"Арахіс Солоний 1,5кг КФ ""Стимул""(434)";кг;1.5;88.45;132.68;1.50;1.00
"Арахіс Солоний 3,0кг КФ ""Стимул""(35)";кг;3;87.22;261.67;30.00;10.00
"Арахіс у кунжуті 1,5кг КФ""Стимул""(307)";кг;1.5;103.77;155.65;19.50;13.00
"Арахісовий набір 3,0кг КФ ""Стимул""(487)";кг;3;72.48;217.44;18.00;6.00
"Аркадія глазур. желейн цукер.1,5кг КФ""Стимул""(469)";кг;1.5;84.68;127.03;3.00;2.00
"Бананові глаз. збив. цукер. 1,1кг КФ""Стимул""(150)";кг;1.1;71.91;79.10;9.90;9.00
"Вафлі ""Артек"" 4,5кг КФ ""Стимул""(329)";кг;4.5;49.55;222.97;279.00;62.00
"Вафлі ""Вершкові"" 4,5кг КФ ""Стимул""(330)";кг;4.5;59.62;268.30;63.00;14.00
"Вафлі ""Лимонні"" 4,5кг КФ ""Стимул""(376)";кг;4.5;51.92;233.66; ; 
"Вафлі ""Пломбір"" 4,5кг КФ ""Стимул""(353)";кг;4.5;58.23;262.04;45.00;10.00
"Віденська глазуров. цукерк. 1,5кг КФ""Стимул""(809)";кг;1.5;81.74;122.60;25.50;17.00
"Віночок желейн. глазур. цукер. 2кг КФ""Стимул""(793)";кг;2;76.90;153.81;2.00;1.00
"Грильяж Лакомка 1,5кг КФ""Стимул""(626)";кг;1.5;79.93;119.90; ; 
"До кави набір цукерок 3кг  КФ""Стимул""(491)";кг;3;78.46;235.38;33.00;11.00
"До чаю набір цукерок 3кг  КФ""Стимул""(513)";кг;3;87.63;262.90; ; 
"Драже ""Арахіс у как-порошк"" 2кг КФ""Стимул""(265)";кг;2;76.33;152.66;26.00;13.00
"Драже Желейне ""Холодок"" 1,3кг КФ""Стимул""(637)";кг;1.3;49.47;64.31;14.30;11.00
"Драже набір №2  4кг КФ""Стимул""(744)";кг;4;63.06;252.25;64.00;16.00
"Драже""Морські камінці"" 2кг КФ""Стимул""(292)";кг;2;68.22;136.45;18.00;9.00
"Драже""Соняшн. у как-порош."" 2кг КФ""Стимул""(266)";кг;2;53.15;106.31;10.00;5.00
"Еспресо цукерки 1,5кг КФ""Стимул""(336)";кг;1.5;83.87;125.80;7.50;5.00
"Еспресо цукерки 3,5кг КФ""Стимул""(506)";кг;3.5;71.19;249.17;7.00;2.00
"Зефір ""Берізка"" 0,7кг КФ""Стимул""(397)";кг;0.7;77.23;54.06;10.50;15.00
"Зефір ""Біло-рожевий"" 2,5кг КФ""Стимул""(72)";кг;2.5;53.15;132.88;62.50;25.00
"Зефір ""Глясе"" 1,2кг КФ""Стимул""(482)";кг;1.2;67.32;80.79;28.80;24.00
"Зефір ""З аром. малин та верш""1,2кг/КФ""Стимул""(546)";кг;1.2;66.58;79.90;15.60;13.00
"Зефір ""У глазурі"" 2,4кг КФ""Стимул""(74)";кг;2.4;76.09;182.60;16.80;7.00
"Зефір ""Чарівна паличка"" 1,8кг КФ""Стимул""(288)";кг;1.8;80.59;145.06;27.00;15.00
"Зимова Вишня цукер. 1,7кг КФ""Стимул""(701)";кг;1.7;110.07;187.13;30.60;18.00
"Ірис ""Золотий ключик"" 2кг КФ""Стимул""(31)";кг;2;63.14;126.29;38.00;19.00
"Ірис Вершковий  1,4кг КФ""Стимул""(684)";кг;1.4;54.87;76.82;22.40;16.00
