Прайс на дату: 09.12.18;;;;;;
;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расфас.)
Кукур. пал. неглаз.ЧЕРВОНА ІКРА 45г*30 ЯМ ОТТІМО;шт;1;4.28;4.28;145.00;145.00
Кукурудз, палички солодкі неглаз.400г/7штТМ ОТТІМО;шт;1;17.48;17.48;429.00;429.00
Кукурудзяні палички МОЛОЧНІ 165Г25ЯМ ОТТІМО;шт;1;10.75;10.75;185.00;185.00
Кукурудзяні палички МОЛОЧНІ 55г*30 ЯМ ОТТІМО;шт;1;4.28;4.28;85.00;85.00
Повітряні зерна кук.СОЛОДКІ негл. 50г*30ЯМ ОТТІМО;шт;1;7.22;7.22;180.00;180.00
Повітряні зерна кук.СОЛОДКІ негл..20г*50ЯМ ОТТІМО;шт;1;3.44;3.44;217.00;217.00
Повітряні зерна кук.СОЛОНІ негл. 20г*50ЯМ ОТТІМО;шт;1;3.44;3.44;128.00;128.00
Повітряні зерна кук СОЛОНІ негл. 50Г30ЯМ ОТТІМО;шт;1;7.22;7.22;286.00;286.00
ПАРА ПЕРЦIВ;;;;;;
"АКЦІЯІЛимонна кислота 20гр/300 в ящ. ""Пара перців""";шт;1;0.01;0.01;2.00;2.00
"Лавровий лист мелений 20гр/240 в ящ ""Пара перців""";шт;1;1.50;1.50;407.00;407.00
МАНДРИ;;;;;;
"Лимонна кислота 20гр""Мандри""";шт;1;1.53;1.53;25 00;25.00
"Перець духмяний горошок15гр/20уп /200""Мандри""";шт;1;3.36;3.36;106.00;106.00
"Перець чорний мелений 20гр/20уп./240 ""Мандри""";шт;1;2.98;2.98;232.00;232.00
"Суміш перців 20гр/160 в ящ. ""Пара перців""";шт;1;2.00;2.00;323.00;323.00
Чай;;;;;;
ПЧМ Зелений №95 / Крепкий GUN POWDER 90гр/16шт ящ;шт;1;15.96;15.96;27.00;27.00
ЧАИ ТРИ СЛОНА;;;;;;
ТМ КРЕПКИЙ ДСТУ чорн байх лист 80гр картон*54шт;шт;1;10 86;10.86;133.00;133.00
Чай Три Слони ф/п б/н 20*1,Згр*24ш;шт;1;6.74;6.74;48.00;48.00
Кондитерські вироби ВАВРИК TM;;;;;;
Baton Chio Chio цукерка 2,0 кг Vavryk&Co;кг;2;63.67;127.;26.00;13.00
Baton Chio CHOKO цукерка 2,0 кг Vavryk&Co;кг;2;69.90;139.81;68.00;34.00
Бабусині смаколики цукерка 2,0 кг Vavryk&Co;кг;2;82.86;165.73;92.00;46.00
"Ваф.рулетики ванілін ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80;2.40;1.00
"Ваф.рулетики згущене молок ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80;55.20;23.00
"Ваф.рулетики пряжене мол. ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80;52.80;22.00
"Ваф.рулетики шоколад ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80;7.20;3.00
"Ваф.труб. ""Мііо-Нотті ""Згущ.молоко 2,0KrVavryk&Co";кг;2;55.32;110.65;50.00;25.00
Коко Джамбо цукерка 2,0 кг Vavryk&Co;кг;2;100.85;201.69;124.00;62.00
Султан Тан цукерка 2,0 кг Vavryk&Co;кг;2;84.08;168.16;80.00;40.00
ФАС Ваф.рулет, шоколад п/п уп. 200 г Vavryk&Co;шт;1;13.94;13.94;1.00;1.00
Цукерка Кара-Кум 2,0 кг Vavryk&Co;кг;2;95.09;190.19;60.00;30.00
Червоний мак цукерка 2,0 кг Vavryk&Co;кг;2;80.35;160.70;38.00;19.00
ЧІО ЧІО HAT Батончик 2,0 кг Vavryk&Co;кг;2;64.31;128.63;62.00;31.00
ЧІО ЧІО HAT Батончик глазуров. 2,0 кг Vavryk&Co;кг;2;75.90;151.79;70.00;35.00
ЧІО ЧІО САН 2.0 кг Vavryk&Co;кг;2;75.33;150.66;6.00;3.00
Диканське;;;;;;
"Джанго 4 кг ""Диканське""";кг;4;35.19;140.76;32.00;8.00
"Диканське з цукром п-во 3,8 кг ""Диканське""";кг;3.8;32.46;123.34;144.40;38.00
"Диканське з цукром п-во 5,7кг ""Диканське""";кг;5.7;31.05;176.99;68.40;12.00
"Диканське п-во 5,7 кг ""Диканське""";кг;5.7;30.39;173.21;22.80;4.00
"Домашнє печиво 3 кг ""Диканське""";кг;3;35.85;107.56;21.00;7.00
"Злата Лукум кокос п-во 1,2 кг ""Диканське""";кг;1.2;52.41;62.89;10.80;9.00
"Злата Лукум Цитрус п-во 1,2 кг ""Диканське""";кг;1.2;67.65;81.18;21.60;18.00
"Інь-Янь п-во 1,7кг ""Диканське"" ЕЗ";кг;1.7;48.27;82.06;11.90;7.00
"Інь-Янь п-во 3,8 кг ""Диканське""";кг;3.8;46.95;178.40;133.00;35.00
