Прайс на дату: 09.12.18;;;;;;
;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расфас.)
Аромат миндаля печиво 3,0кг Сергис;кг;3;49.73;149.18;;
Ассорти №1 печиво 0,750кг Сергис 45дн;кг;0.75;60.21;45.16;14.25;19.00
Ассорти №1 печиво 0,8кг Сергис 45дн;кг;0.8;53.46;42.77;;
Ассорти №2 печиво 0,8кг Сергис;кг;0.8;53.95;43.16;12.80;16.00
Ассорти №3 печиво 0,8кг Сергис;кг;0.8;56.38;45.10;5.60;7.00
Ассорти №4 печиво 0,7кг Сергис;кг;0.7;58.15;40.70;9.80;14.00
Ассорти №5 печиво 0,780кг Сергис;кг;0.78;62.48;48.73;;
Ассорти №6 печиво 0,690кг Сергис;кг;0.69;68.74;47.43;3.45;5.00
Бантик печиво 1,5кг Сергис;кг;1.5;50.48;75.71;;
Березка рулет 1,5кг Сергис 15дн;кг;1.5;63.84;95.76;4.50;3.00
Болеро печиво 2кг Сергис;кг;2;51.58;103.17;;
Буратино печиво 1,5кг Сергис;кг;1.5;53.14;79.70;12.00;8.00
Бусинка печиво 2,5 кг Сергис;кг;2.5;43.81;109.52;12.50;5.00
Бусинка печиво 2,7 кг Сергис;кг;2.7;43.16;116.52;;
Вівсяне печиво 2,5кг Сергис;кг;2.5;34.99;87.48;;
Візаві тістечко 1,5кг Сергис 15дн;кг;1.5;62.90;94.35;;
Вікторія тістечко 2кг Сергис 15дн;кг;2;66.53;133.06;20.00;10.00
Вкусняшка Тістечкої ,5кг Сергис;кг;1.5;61.82;92.74;;
Волна (ДО ПОСТУ)печиво 2,5кг Сергис бОдн;кг;2.5;41.73;104.32;;
Волна печиво 2,5кг Сергис бОдн;кг;2.5;43.81;109.52;32.50;13.00
Вулканчик тістечко 2кг Сергис бОдн;кг;2;58.46;116.93;;
Гномик печиво 2,5кг Сергис;кг;2.5;43.81;109.52;5.00;2.00
Гномик печиво 2,7кг Сергис;кг;2.7;41.86;113.03;;
Дубочек тістечко 2,0 кг Сергис 15дн;кг;2;63.84;127.68;16.00;8.00
Дуняша печиво 3,0кг Сергис бОдн;кг;3;41.47;124.42;;
Дюймовочка печиво 2,5кг Сергис;кг;2.5;47.05;117.62;17.50;7.00
Дюймовочка печиво 2,7кг Сергис;кг;2.7;45.36;122.47;;
Ёжик печиво 3,0 кг Сергис;кг;3;48.99;146.98;18.00;6.00
Зебра печиво 2,7 кг Сергис;кг;2.7;42.13;113.76;;
Зіронька печиво 2,0кг Сергис;кг;2;46.66;93.31;16.00;8.00
Капелька печиво 1,5кг Сергис;кг;1.5;49.51;74.26;3.00;2.00
Капитошка печиво 2,5кг Сергис;кг;2.5;53.27;133.18;17.50;7.00
Капитошка-веселка печиво 2,5кг Сергис;кг;2.5;53.27;133.18;2.50;1.00
Кармен Тістечко 1,5кг Сергис 15дн;кг;1.5;66.53;99.79;10.50;7.00
Карпатики-Сергис Тістечко 1.5кг Сергис 15дн;кг;1.5;63.43;95.15;21.00;14.00
Кекс з родзинками 2,5кг Сергис;кг;2.5;58.32;145.80;;
Кокетка печиво Зкг Сергис;кг;3;60.66;181.97;12.00;4.00
Коровка печиво 2,0кг Сергис;кг;2;49.25;98.50;;
Кохана трубочка з вершковим кремом 1,5кг Сергис;кг;1.5;46.37;69.55;;
Кохана трубочка з вершковим кремом 2,2кг Сергис;кг;2.2;62.86;138.28;;
курузное печиво 2,2кг Сергис ЗОдн;кг;2.2;43.16;94.95;24.20;11.00
Кукурузное печиво 2кг Сергис ЗОдн;кг;2;43.16;86.32;2.00;1.00
Ласуня тістєчкої ,5кг Сергис;кг;1.5;63.84;95.76;12.00;8.00
Магнолія печиво Зкг Сергис;кг;3;52.62;157.87;6.00;2.00
Мальва печиво Зкг Сергис;кг;3;46.66;139.97;21.00;7.00
Меренга в ассортимент! печиво 1,1кг Сергис бОдн;кг;1.1;55.22;60.74;2.20;2.00
Меренга в ассортимент! печиво 1,2кг Сергис бОдн;кг;1.2;55.22;66.26;0.10;0.08
Милашка печиво 2,5кг Сергис;кг;2.5;44.06;110.16;;
Минутка печиво 2,5кг Сергис;кг;2.5;43.81;109.52;17.50;7.00
Моніка вишня Тістечко 1,5кг Сергис;кг;1.5;65.18;97.78;;
Моніка лимон Тістечко 1,5кг Сергис;кг;1.5;65.18;97.78;;
Монро печиво (безе) 1,0 кг Сергис;кг;1;56.77;56.77;;
Наречена трубочка з згущ.молоком 2,2кг Сергис;кг;2.2;59.62;131.16;;
Орешек печиво 2 кг Сергис (30);кг;2;55.08;110.16;20.00;10.00
Перлина печиво 3 кг Сергис бОдн;кг;3;47.82;143.45;21.00;7.00
"Печиво ""Домашне со злаками"" 2,5кг Сергис";кг;2.5;41.08;102.70;;
Пташине молоко Тістечко 1,5кг Сергис (15);кг;1.5;67.20;100.80;;
Пташине молоко Тістечко 1,7кг Сергис (15);кг;1.7;65.18;110.81;;
Пчелка Тістечко 1,5кг Сергис ЗОдн;кг;1.5;71.90;107.86;6.00;4.00
Сашенька тістечко 1,5 кг Сергис;кг;1.5;57.79;86.69;;
Святкове печиво 1,5кг Сергис бОдн;кг;1.5;50.16;75.23;;
Слойка з вишнею печиво 1,8кг Сергис;кг;1.8;65.35;117.64;;
Слойка з курагой печиво 1,8кг Сергис;кг;1.8;65.35;117.64;;
Тірамісу Тістечко 1,5кг Сергис;кг;1.5;72.58;108.86;;
ФієстаТістечко 2кг Сергис;кг;2;65.18;130.37;2.00;1.00
Флірт Тістечко 2,5кг Сергис;кг;2.5;64.51;161.28;;
Чайная роза печиво Зкг Сергис бОдн;кг;3;44.78;134.34;;
Чебурашка тістечко 1,5 кг Сергис;кг;1.5;59.14;88.70;21.00;14.00
Шагане Вафлі 2,1 кг Сергис;кг;2.1;67.39;141.52;;
Шоколадное тістечко 1,5 кг Сергис;кг;1.5;67.87;101.81;4.50;3.00
Стимул;;;;;;
"Арахіс Рижик 1,5кг КФ ""Стимул""(435)";кг;1.5;58.81;88.22;;
"Арахіс Рижик Зкг КФ ”Стимул""(68)";кг;3;58.81;176.44;;
"Арахіс у кунжуті 1,5кг КФ""Стимул""(307)";кг;1.5;90.17;135.25;;
"Вафлі Артек 4,5кг КФ ""Стимул""(329)";кг;4.5;49.14;221.13;;
"Грильяж Лакомка 1,5кг КФ""Стимул''(626)";кг;1.5;79.25;118.87;;
"До кави набір цукерок Зкг КФ""Стимул""(491)";кг;3;77.77;233.30;;
"До чаю набір цукерок Зкг КФ""Стимул""(513)";кг;3;83.46;250.38;;
"Драже ""Арахіс у как-порошк"" 2кг КФ""Стимул""(265)";кг;2;75.66;151.32;4.00;2.00
"Драже желейне ""Холодок"" 1,3кг КФ""Стимул""(637)";кг;1.3;49.06;63.78;18.20;14.00
"Драже набір №2 4кг КФ""Стимул""(744)";кг;4;62.56;250.22;16.00;4.00
"Драже""Морські камінці"" 2кг КФ""Стимул""(292)";кг;2;67.63;135.25;2.00;1.00
"Драже""Соняшн. у как-порош."" 2кг КФ""Стимул""(266)";кг;2;52.73;105.46;14.00;7.00
"Еспресо цукерки 1,5кг КФ""Стимул""(336)";кг;1.5;83.15;124.72;;
"Зефір ""Біло-рожевий"" 2,5кг КФ""Стимул""(72)";кг;2.5;50.62;126.56;5.00;2.00
"Зефір ""Глясе"" 1,2кг КФ""Стимул""(482)";кг;1.2;66.77;80.12;2.40;2.00
"Зефір ""У глазурі"" 2,4кг КФ""Стимул""(74)";кг;2.4;75.43;181.02;26.40;11.00
"Зимова Вишня цукер. 1,7кг КФ""Стимул""(701)";кг;1.7;104.83;178.21;;
"Ірис ""Золотий ключик"" 2кг КФ""Стимул""(31)";кг;2;62.63;125.27;;
"Ірис Вершковий 1,4кг КФ""Стимул""(684)";кг;1.4;54.37;76.11;;
"Козинак Соняшник 1,5кг КФ""Стимул""(395)";кг;1.5;74.18;111.27;;
"Мармелад ""Желейн. формов."" 1,9кг КФ""Стимул""(281)";кг;1.9;52.88;100.48;34.20;18.00
"Мармелад ""Славутич"" 2,7кг КФ""Стимул""(93)";кг;2.7;56.24;151.84;;
"Мармелад ""Цитрус"" 0,95кг КФ""Стимул""(450)";кг;0.95;92.35;87.73;;
"Мармелад ""Ягідка"" 1,5кг КФ""Стимул""(69)";кг;1.5;98.83;148.24;28.50;19.00
"Рахат-лукум асорті 2,5кг КФ""Стимул""(402)";кг;2.5;53.35;133.38;5.00;2.00
"Ромашка Стим. цук. глаз. пом.1,7кг КФ""Стимул""(455)";кг;1.7;77.30;131.41;3.40;2.00
"Солоденька Му мол-жел. цук. 1,7кг КФ""Стимул""(608)";кг;1.7;80.65;137.11;18.70;11.00
"Сонячн. Віночок цукер. 2кг КФ""Стимул""(132)";кг;2;79.17;158.34;;
"Столичні цукерки"" 1,35кг КФ""Стимул""(313)";кг;1.35;89.31;120.57;;
"Стріла Дніпровська цукер. 1,1кг КФ”Стимул""(321)";кг;1.1;100.70;110.77;;
"Стріла Дніпровська, цукер. 2кг КФ""Стимул""(88)";кг;2;99.37;198.74;6.00;3.00
Фасовка;;;;;;
"Драже желейн.""Like Холодок”фас КФ""Стимул""(649)";шт;1;3.59;3.59;;
"ДражеТіке Арах.у как-пор."" 0,05кг КФ""Стимул""(647)";шт;1;4.45;4.45;30.00;30.00
"ДражеТіке Арахіс Рижик"" 0,05кг КФ""Стимул""(670)";шт;1;4.21;4.21;20.00;20:00
"ДражеТіке Веселка"" 0,06кг КФ""Стимул""(669)";шт;1;4.91;4.91;6.00;6.00
"ДражеТіке Мікс"" 0,05кг КФ""Стимул""(650)";шт;1;3.43;3.43;6.00;6.00
"ДражеТіке Морськ. камінц"" 0,06кг КФ""Стимул""(648)";шт;1;4.76;4.76;9.00;9.00
"Еспресо цукерки 0,175кг КФ""Стимул""(333)";шт;1;20.28;20.28;16.00;16.00
"Стріла Дніпровська цукер. 0,235кг КФ""Стимул""(318)";шт;1;50.54;50.54;;
"Цук. двош. пом - жел. ""Kiss” 1,8кг КФ""Стимул""(800)";кг;1.8;98.12;176.62;5.40;3.00
"Цук.Мол-жел з арах. WOW глаз. 1,3кг КФ""Стимул""(672)";кг;1.3;87.05;113.16;;
"Цукерковий набір 3,6 кг КФ""Стимул""(459)";кг;3.6;81.74;294.28;93.60;26.00
ТМ R&V(леденец);;;;;;
АКЦІЯ Льодяник Монпасье туб 30г (6шт/1уп) /ТМ R&V;блок;1;0.01;0.01;19.00;19.00
Асорті кольорове (60шт/1уп) /ТМ R&V;блок;1;246.25;246.25;13.00;13.00
Букви 30г 2-ох кол. (30шт/1уп) ТМ R&V;блок;1;114.58;114.58;5.00;5.00
Дін Дон в тубусі 30г (12шт/1уп) ЯМ R&V;блок;1;48.62;48.62;25.00;25.00
Зайчики кольорові 30г (30шт/1уп) ЯМ R&V;блок;1;118.24;118.24;22.00;22.00
Зайчики кольорові 30г (60шт/1уп) ЯМ R&V;блок;1;231.66;231.66;8.00;8.00
Звірята 1 уп. (60шт/1уп) ЯМ R&V;блок;1;231.66;231.66;8.00;8.00
Звірята 30г (30шт/1уп) ЯМ R&V;блок;1;118.24;118.24;10.00;10.00
ЛІХТАРИКИ вагові 1кгЯМ R&V;блок;1;103.74;103.74;19.00;19.00
Льдяник кольор.СМАЙЛИК 30г (40шт/1уп) ЯМ R&V;блок;1;153.92;153.92;15.00;15.00
Льдяник Монпасье 30г (36шт/1уп) ЯМ R&V;блок;1;146.86;146.86;75.00;75.00
Льдяник Монпасье в тубусі 30г (12шт/1уп) ЯМ R&V;блок;1;48.95;48.95;8.00;8.00
Льдяник-ЛІХТАР Машина мала 12г (100шт/1уп) ЯМ R&V;блок;1;203.14;203.14;1.00;1.00
Льдяник-ЛІХТАРИКИ відерце 12г (150шт/1уп) ЯМ R&V;блок;1;232.70;232.70;11.00;11.00
Льдяник-ЛІХТАРИКИ кошичокМ 12г (150шт/1уп) ЯМ R&V;блок;1;204.75;204.75;13.00;13.00
Льдяник-ЛІХТАРИКИ самоскид 12г (150шт/1уп) ЯМ R&V;блок;1;296.73;296.73;16.00;16.00
Льдяник-ЛІХТАРИКИ тубус 12г (140шт/1уп) ЯМ R&V;блок;1;191.10;191.10;15.00;15.00
Мемедики 30г (ЗОшт/Іуп) ЯМ R&V;блок;1;118.24;118.24;16.00;16.00
Півники 30г (ЗОшт/Іуп) ЯМ R&V;блок;1;118.24;118.24;24.00;24.00
Півники 80г + іграшка (ЗОшт/Іуп) ЯМ R&V;блок;1;438.75;438.75;20.00;20.00
Ромашка 2-ох кол. 40г (40шт/1уп) ЯМ R&V;блок;1;199.16;199.16;5.00;5.00
Фіксики 40г (40шт/1 уп) ЯМ R&V;блок;1;182.52;182.52;17.00;17.00
Фараон;;;;;;
Драже JOJO Любов це СМС Згр*36бл*60штФараон;блок;1;41.06;41.06;12.00;12.00
Драже JOJO Помадка Мікс 12гр*24бл*24штФараон;блок;1;101.43;101.43;18.00;18.00
Драже JOJO CARNIVAL POPCORN 10гр*12бл*50штФараон;блок;1;170.94;170.94;1.00;1.00
Драже Арас Тубус Фіксики 12гр*12бл*24штФараон;блок;1;87.64;87.64;6.00;6.00
Драже Веселка Саадет тубус 12гр*12бл*24штФараон;блок;1;75.67;75.67;7.00;7.00
Драже Лав Бон (Тік-Так) Арас 14гр*24бл*18штФараон;блок;1;56.61;56.61;6.00;6.00
Драже Лав Бон Серце Арас 10гр*12бан*48штФараон;блок;1;123.84;123.84;11.00;11.00
Драже Олівець з драж Міні Арас15гр*12бл*24штФараон;блок;1;121.93;121.93;9.00;9.00
Драже Олівець Машинки Арас15гр*12бл*24штФараон;блок;1;117.58;117.58;2.00;2.00
Драже Саад.тубус Містер і Місс12гр*12бл*24штФараон;блок;1;75.67;75.67;8.00;8.00
Драже Хіп Хол Арас 12гр*12бл*24штФараон;блок;1;82.89;82.89;12.00;12.00
Драже Хіп Хоп Арас 12гр*6бл*50штФараон;блок;1;182.35;182.35;6.00;6.00
Драже Це Це Бон у блистері 22гр*12бл*24штФараон;блок;1;128.60;128.60;8.00;8.00
Жув цук Zazuage з Тату 10,8гр*12бл.*50шт. Фараон;блок;1;125.74;125.74;7.00;7.00
Жув цук Лімбо Асорті м'яка 20гр*8 банМОштФараон;блок;1;142.89;142.89;6.00;6.00
Жув цук Шумі Монетки 12бан*1012г(12,14кг)Фараон;блок;1;210.93;210.93;4.00;4.00
Жувал. цук. Фрутишка Саадет25гр*12бл.*24шт. Фараон;блок;1;83.83;83.83;11.00;11.00
Жуйка Бай Балон Асорті з ТАТТО 18гр*24бл*20шт;блок;1;71.44;71.44;3.00;3.00
Жуйка- Краска Бай Балон Полуниця 6гр*24бл*40шт;блок;1;60.02;60.02;11.00;11.00
Жуйка Крезі з великою ТАТУ 2,5гр*24бл*100штФараон;блок;1;58.38;58.38;54.00;54.00
Жуйка Лав із Апельсин-Ананас Кент 4,2гр*20бл*100шт;блок;1;128.03;128.03;1.00;1.00
Жуйка Лав із Полуниця-Банан Кент 4,2гр*20бл*100шт;блок;1;128.02;128.02;1.00;1.00
Жуйка ЛюбовЦе Кокос-Ананас4,2гр*20бл*100штФараон;блок;1;60.88;60.88;18.00;18.00
Жуйка Монстер Шок Кавун 3,5гр*20бл*100шт;блок;1;70.59;70.59;9.00;9.00
Жуйка Монстер Шок Ожина 3,5гр*20бл*100шт;блок;1;70.59;70.59;8.00;8.00
Жуйка Монстер Шок Полуниця 3,5гр*20бл*100шт;блок;1;70.59;70.59;12.00;12.00
Жуйка Монстер ШокТутті Фрутті 3,5гр*20бл*100шт;блок;1;75.45;75.45;3.00;3.00
Жуйка Назар Асорті 5гр*20бл*100шт Фараон;блок;1;92.38;92.38;7.00;7.00
Жуйка Назар Ожина 5гр*20бл*100шт Фараон;блок;1;92.38;92.38;1.00;1.00
Жуйка О Фреш Банка Асорті 5гр*8бан*200шт Фараон;блок;1;217.35;217.35;3.00;3.00
Жуйка 0 Фреш Дисплей Асорті 5гр*40бл*50шт Фараон;блок;1;51.08;51.08;31.00;"31;00"
Жуйка Олівець Райдуга 15гр*12бл*24шт Фараон;блок;1;109.68;109.68;6.00;6.00
Жуйка фрукт.ТУРБО + тату 4,5гр*6бл*300шт Фараон;блок;1;335.31;335.31;1.00;1.00
Жуйка Шок Шок Вишня 4гр*20бл*100шт Фараон;блок;1;74.95;74.95;5.00;5.00
Жуйка Шок Шок Полуниця 4гр*20бл*100шт Фараон;блок;1;74.95;74.95;5.00;5.00
Жуйка-пласт. Pepermint 3,5гр*12бл*100штФараон;блок;1;87.86;87.86;1.00;1.00
Жуйка-пласт. Повергум Мята Згр*6бан*300штФараон;блок;1;212.29;212.29;1.00;1.00
Жуйка-пласт. Повергум ПолуницяЗгр*6бан*300штФараон;блок;1;227.01;227.01;2.00;2.00
Зефір-Сердце Love is Зеф. люб 10г*20бл*30шт Фараон;блок;1;134.89;134.89;9.00;9.00
Кисла п'ятка JOJO льод. палк. 9гр*12бл*24штФараон;блок;1;88.45;88.45;9.00;9.00
Кислиця Асорті Саадет 3,5гр*20бл*100штФараон;блок;1;73.16;73.16;6.00;6.00
Кислиця Чорниця Саадет 3,5гр*20бл*100штФараон;блок;1;67.93;67.93;2.00;2.00
Мармел. Стрічка Полуниця 20гр*8бл*48шт Фараон;блок;1;200.04;200.04;4.00;4.00
Мармеладна Пал. Асор БЕЗ ЦУКР10гр*8бл*150шт Фараон;блок;1;185.75;185.75;2.00;2.00
Мармеладна Стрічка мікс ЦУКР 10гр*8бл*150шт Фараон;блок;1;185.75;185.75;4.00;4.00
Турбо машинка фігур.KING EGG15rp*12бл*24шт Фараон;блок;1;161.28;161.28;6.00;6.00
Ц-ка на пал.Парті Тайм Ананас 16гр*6бл*100штФараон;блок;1;206.21;206.21;3.00;3.00
Ц-ка на пал.ПартіТайм Полуниця 16гр*6бл*100штФараон;блок;1;206.21;206.21;3.00;3.00
Ц-ка на пал.Супер Гум Асорті 16гр*6бл*100штФараон;блок;1;206.22;206.22;7.00;7.00
Цукерка Браслет-Соска 8гр*6бл*100штФараон;блок;1;258.61;258.61;5.00;5.00
Цукерка на палочці ФІТО (банка)10гр*6бл*120штФарао;блок;1;159.22;159.22;7.00;7.00
Червяки Саадет Джелоппі 12бан*600гр Фараон;блок;1;113.32;113.32;13.00;13.00
Шок.фігур.HappyNewYeai-ДідМороз 60гр*6бл*12штФараон;блок;1;198.14;198.14;14.00;14.00
Шокол. Яйце сюрпр. М і В Новор25гр*6бл*24шт Фараон;блок;1;133.36;133.36;8.00;8.00
Шокол.фігур Merry Chris НОВОР.15гр*12бл*24штФараон;блок;1;190.52;190.52;21.00;21.00
Шокол.Яйце сюрп ФІКС Новор. 25гр*6бл*24шт Фараон;блок;1;133.36;133.36;1.00;1.00
Шокол.Яйце Щеняч Патрул Новор 25гр*6бл*24шт Фараон;блок;1;132.42;132.42;2.00;2.00
Шоколад, фігур М і В НОВОРІЧНА 30гр*6бл*24штФараон;блок;1;217.19;217.19;5.00;5.00
Шоколадна фігурка Дід Мороз 30гр*6бл*24штФараон;блок;1;217.19;217.19;26.00;26.00
Шоколадне Яйце М і В 60гр*6бл*12штФараон;блок;1;204.31;204.31;10.00;10.00
Шоколадне Яйце Фіксики 60гр*6бл*12штФараон;блок;1;204.31;204.31;3.00;3.00
Яйце сюрприз Асорті А[\11_25гр*6бл*24шт Фараон;блок;1;132.62;132.62;6.00;6.00
Яйце сюрприз БАРБ Арас 25гр*6бл*24шт Фараон;блок;1;137.17;137.17;5.00;5.00
Яйце King Egg LOVE is 15гр*12бл*24шт Фараон;блок;1;173.88;173.88;6.00;6.00
Яйце King Egg МІМ 15гр*12бл*24шт Фараон;блок;1;176.36;176.36;12.00;12.00
Яйце MINI Egg 30гр*14бл*12шт Фараон;блок;1;204.71;204.71;9.00;9.00
Яйце проз.плас арас Метелики 10г*6бл*12шт Фараон;блок;1;228.62;228.62;3.00;3.00
Яйце проз.плас арас Модн. Малюк10г*6бл*12шт Фараон;блок;1;228.62;228.62;4.00;4.00
ШОКОЛАДНО;;;;;;
Angello ц-ки з ціл.мигд. ф/п 1.7кг Шоколадно 6 мес;кг;1.7;143.00;243.10;5.10;3.00
Cream Манго цукерки вагові 1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;18.00;12.00
Cream Полуниці цукерки ваговії,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;7.50;5.00
Cream Тоффі цукерки ваговії ,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;10.50;7.00
Cream Шампанськ цукерк.ваговії ,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;21.00;14.00
Cream Шоколад цукерки ваговії,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;3.00;2.00
Crocant цукерки вагові 1,7кг Шоколадно 6 мес;кг;1.7;91.26;155.14;42.50;25.00
Natella Golden nuts ц-ки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;98.22;166.98;3.40;2.00
Natella цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;107.18;182.21;13.60;8.00
Praline Coffee Cream ц-ки ф/п 1.5 кг Шоколадно;кг;1.5;102.31;153.47;1.50;1.00
Praline Cream ц-ки ф/п 1.5 кг Шоколадно;кг;1.5;100.95;151.43;;
Praline Nut з арахісом ц-ки ф/п 1.5 кг Шоколадно;кг;1.5;102.31;153.47;1.50;1.00
Provance цукерки ф/п 1.7 кг Шоколадно;кг;1.7;107.18;182.21;28.90;17:00
Sherry Апельс.трюфель ц- ки 1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;16.50;11:00
Sherry Вишнев.трюфель ц- ки 1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;13.50;9.00
Shoki ц- ки (вагові) 2,0кг Шоколадно 6 мес;кг;2;85.06;170.12;4.00;2.00
Smaki ц- ки (вагові) 2,0кг Шоколадно 6 мес;кг;2;85.06;170.12;10.00;5.00
VinSento цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;99.57;169.27;5.10;3.00
Бонайро цукерки (вагові) 1.5 кг Шоколадно;кг;1.5;102.31;153.47;1.50;1.00
Веласко цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;96.85;164.65;;
Вершковий кокт. Бан.-Шок. цук ф/п 1 ,7кгШоколадно;кг;1.7;93.34;158.68;20.40;12.00
Вершковий кокт. Пол-Вершки цук ф/п 1 ,7кгШоколадно;кг;1.7;93.34;158.68;20.40;12:00
Вершковий кокт. Фіст-Карам. цук ф/п 1 ,7кгШоколадно;кг;1.7;93.34;158.68;;
Горіхові мрії цукерки ваг. 1,7кг Шоколадно 6 мес;кг;1.7;143.00;243.10;1.70;1.00
Грильяж цукерки (вагова) 1,7кг Шоколадно 6 мес;кг;1.7;89.89;152.81;;
Гуцулочка цукерки (вагова) 1,5кг Шоколадно 6 мес;кг;1.5;89.46;134.19;;
Гуцулочка цукерки (вагова) 1,7кг Шоколадно 6 мес;кг;1.7;81.58;138.69;5.10;3.00
Даринка цукерки (вагова)1,7кг Шоколадно 6 мес;кг;1.7;78.85;134.05;6.80;4.00
Казковий півник цукерки (ваг) 1,5кг Шоколадно 6 мес;кг;1.5;77.48;116.22;10.50;7.00
Кармель цукерки (ваг)1,7кг Шоколадно 6 мес;кг;1.7;100.95;171.62;15.30;9.00
Кокос.десерт Бамбу ц-ки (ваг)1,5кг Шоколадно 6 мес;кг;1.5;102.55;153.83;;І
Кокос.десерт Бамбу ц-ки (ваг)1,7кг Шоколадно 6 мес;кг;1.7;95.43;162.23;1.70;1.00
Мануєль цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;95.43;162.23;;
Марічка цукерки вкус ром ф/п 1,5кг Шоколадно 6 мес;кг;1.5;77.48;116.22;12.00;8.00
Метеорит цукерки (вагова)1,7кг Шоколадно 6 мес;кг;1.7;84.37;143.43;;
Мигдалинка крем-брюле глаз, цукерки ф/п 1,7кг Шоко;кг;1.7;91.26;155.14;8.50;5.00
Мигдалинка мол.-шок. глаз.цук ф/п 1,7кг Шоколадно;кг;1.7;92.69;157.57;;
Мон Плезір цукерки ф/п 1,7кг Шоколадно;кг;1.7;96.85;164.65;;
Нівушка цукерки ф/п 1,7кг Шоколадно;кг;1.7;92.69;157.57;11.90;7.00
Паленсо Ваг шокол-ваф. цукерки 1,4кг Шоколадно;кг;1.4;94.77;132.68;2.80;2.00
Смак кави цукерки (ваг)1 5кг Шоколадно 6 мес;кг;1.5;77.48;116 22;4.50;3.00
ФАСОВКА;;;;;;
Angella цукерки 17*0.195 кг Шоколадно 6;кг;0.195;257.47;50.21;0.59;3.00
Natella golden nut цукерки 12*0,250 кг Шоколадно 6;кг;0.25;163.74;40.94;;
"Provance ""ФАС"" цукерки ф/п 12*0,150 кг Шоколадно 6";кг;0.15;204.82;30.72;0.15;1.00
"Provance ""ФАС"" цукерки ф/п 12*0,200 кг Шоколадно 6";кг;0.2;197.07;39.41;1.80;9.00
"Provance ""ФАС"" цукерки ф/п 12*0,250 кг Шоколадно 6";кг;0.25;170.95;42.74;;
Асорті цукерки для героїв 12*0,250кг Шоколадно 6;кг;0.25;154.64;38.66;1.00;4.00
Казковий світ асорт цукерки 12*0,250кг Шоколадно 6;кг;0.25;154.64;38.66;0.75;3.00
Кокос.десерт Бамбу ц-ки 8*250г/2кг Шоколадно 6 мес;кг;0.25;141.05;35.26;0.25;1.00
"Цукерки ""Candy mix"" 12*300г/ Шоколадно 6 мес";кг;0.3;156.26;46.88;7.50;25:00
Цукерки Паленсо bar 22*125г/ Шоколадно 6 мес;кг;0.125;162.11;20.26;7.38;59.00
Фрукт, грильяж Чорнослив ц-ки ф/п 1,7кг Шоколадно;кг;1.7;92.69;157.57;3.40;2.00
Фрукт, грильяж Курагой ц-ки ф/п 1.7кг Шоколадно;кг;1.7;89.89;152.81;8.50;5.00
 Шоколадно ПЕЧИВО;;;;;;
Акція Печиво Асорті 0.8 кг Шоколадно;кг;0.8;0.01;0.01;32.00;40.00
Цукровий хрустик печиво 1.3 кг Шоколадно;кг;1.3;58.11;75.54;1.30;1.00
Шоколадно з шок-гор. Печиво 1.4 кг Шоколадно;кг;1.4;71.89;100.65;1.40;1 00
Шоколадно з шок-гор.Печиво 0,3 кг*10уп/ Шоколадно;шт;1;28.62;28.62;4.00;4.00
