Прайс на дату: 17.02.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Вівсяне печиво 2,5кг Сергис;кг;2.5;34.99;87.48;60.00;24.00
Візаві тістечко 1,5кг Сергис 15дн;кг;1.5;62.90;94.35; ; 
Вікторія тістечко 2кг Сергис 15дн;кг;2;66.53;133.06;12.00;6.00
Вкусняшка Тістечко1,5кг Сергис;кг;1.5;61.82;92.74; ; 
Волна (ДО ПОСТУ)печиво 2,5кг Сергис 60дн;кг;2.5;41.73;104.32; ; 
Волна печиво 2,5кг Сергис 60дн;кг;2.5;43.81;109.52;20.00;8.00
Гномик печиво 2,5кг Сергис;кг;2.5;43.81;109.52;7.50;3.00
Гномик печиво 2,7кг Сергис;кг;2.7;41.86;113.03; ; 
Дуняша печиво 3,0кг Сергис 60дн;кг;3;41.47;124.42; ; 
Дюймовочка печиво 2,5кг Сергис;кг;2.5;47.05;117.62;5.00;2.00
Дюймовочка печиво 2,7кг Сергис;кг;2.7;45.36;122.47; ; 
Ёжик печиво 3,0 кг Сергис;кг;3;48.99;146.98; ; 
Зебра печиво 2,7 кг Сергис;кг;2.7;42.13;113.76; ; 
Капелька  печиво 1,5кг Сергис;кг;1.5;49.51;74.26;6.00;4.00
Капитошка печиво 2,5кг Сергис;кг;2.5;53.27;133.18; ; 
Капитошка-веселка печиво 2,5кг Сергис;кг;2.5;53.27;133.18;2.50;1.00
Каприз тістечко 0,9кг Сергис;кг;0.9;65.86;59.27;4.50;5.00
Кармен Тістечко 1,5кг Сергис 15дн;кг;1.5;66.53;99.79;22.50;15.00
Кармен Тістечко 2,0кг Сергис 15дн;кг;2;66.53;133.06;8.00;4.00
Карпатики-Сергис Тістечко 1.5кг Сергис 15дн;кг;1.5;63.43;95.15;16.50;11.00
Кокетка печиво 3кг Сергис;кг;3;60.66;181.97;6.00;2.00
Коровка  печиво 2,0кг Сергис;кг;2;49.25;98.50; ; 
Кохана трубочка з вершковим кремом 2,2кг Сергис;кг;2.2;62.86;138.28; ; 
Кукурудзяне печиво 2,2кг Сергис 30дн;кг;2.2;43.16;94.95;30.80;14.00
Кукурудзяне печиво 2,5кг Сергис 30дн;кг;2.5;42.77;106.92; ; 
Ласуня тістечко1,5кг Сергис;кг;1.5;63.84;95.76;9.00;6.00
Магнолія печиво 3кг Сергис;кг;3;52.62;157.87;12.00;4.00
Мальва печиво 3кг Сергис;кг;3;46.66;139.97;3.00;1.00
Меренга в ассортименті печиво 1,2кг Сергис 60дн;кг;1.2;55.22;66.26; ; 
Милашка печиво 2,5кг Сергис;кг;2.5;44.06;110.16;17.50;7.00
Минутка печиво 2,5кг Сергис;кг;2.5;43.81;109.52;60.00;24.00
Моніка вишня Тістечко 1,5кг Сергис;кг;1.5;66.53;99.79; ; 
Моніка лимон Тістечко 1,5кг Сергис;кг;1.5;65.18;97.78; ; 
Монро печиво (безе) 1,0 кг Сергис;кг;1;56.77;56.77;6.00;6.00
Наречена трубочка з згущ.молоком 2,2кг Сергис;кг;2.2;59.62;131.16; ; 
Орешек печиво 2 кг Сергис (30);кг;2;55.08;110.16;64.00;32.00
Перлина печиво 3 кг Сергис 60дн;кг;3;47.82;143.45;36.00;12.00
"Печиво ""Домашнє со злаками"" 2,5кг Сергис";кг;2.5;41.08;102.70; ; 
Пташине молоко Тістечко 1,5кг Сергис (15);кг;1.5;67.20;100.80; ; 
Пташине молоко Тістечко 1,7кг Сергис (15);кг;1.7;65.18;110.81; ; 
Пчелка Тістечко 1,5кг Сергис 30дн;кг;1.5;71.90;107.86;46.50;31.00
Сашенька тістечко 1,5 кг Сергис;кг;1.5;57.79;86.69;30.00;20.00
Святкове печиво 1,5кг Сергис 60дн;кг;1.5;51.19;76.79; ; 
Чайная роза печиво 3кг Сергис 60дн;кг;3;44.78;134.34; ; 
Чебурашка тістечко 1,5 кг Сергис;кг;1.5;59.14;88.70;19.50;13.00
Шоколадное тістечко 1,5 кг Сергис;кг;1.5;67.87;101.81;13.50;9.00
Эклер со сливками 2 кг Сергис;кг;2;68.54;137.09;36.00;18.00
