Прайс на дату: 17.02.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
ОТТІМО ТМ;;;;;;
Кук.пал.солод. негл.з сюрп. ДІВЧАТА 90г /ТМ ОТТІМО;шт;1;9.49;9.49;474.00;474.00
Кук.пал.солод. негл.з сюрп. ХЛОПЦІ 90г /ТМ ОТТІМО;шт;1;9.49;9.49;547.00;547.00
Кук.пал.солод. СЮРПРИЗ ДІВЧАТА 120г*20 /ТМ ОТТІМО;шт;1;15.76;15.76;365.00;365.00
Кук.пал.солод. СЮРПРИЗ ХЛОПЦІ 120г*20 /ТМ ОТТІМО;шт;1;15.76;15.76;432.00;432.00
Кук.пал.солод.СЮРПРИЗ  ХЛОПЦІ  55г*30 /ТМ ОТТІМО;шт;1;7.73;7.73;55.00;55.00
Кук.пал.солод.СЮРПРИЗ ДІВЧАТА  55г*30 /ТМ ОТТІМО;шт;1;7.73;7.73;82.00;82.00
Кукур. пал. неглаз. БЕКОН 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукур. пал. неглаз. ГРИБИ в СМЕТАНІ 45г /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукур. пал. неглаз. САЛЯМІ 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукур. пал. неглаз. СИР 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;1.00;1.00
Кукур. пал. неглаз.ЧЕРВОНА ІКРА  45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Кукурудз. палички солодкі неглаз.400г/7штТМ ОТТІМО;шт;1;17.48;17.48;76.00;76.00
Кукурудз. палички солодкі неглаз.60г*40/ТМ ОТТІМО;шт;1;3.78;3.78;1.00;1.00
Кукурудзяні палички МОЛОЧНІ 165г*25/ТМ ОТТІМО;шт;1;10.75;10.75;12.00;12.00
Кукурудзяні палички МОЛОЧНІ 55г*30 /ТМ ОТТІМО;шт;1;4.28;4.28; ; 
Повітряні зерна кук.СОЛОДКІ негл. 50г*30/ТМ ОТТІМО;шт;1;7.22;7.22; ; 
Повітряні зерна кук.СОЛОДКІ негл..20г*50/ТМ ОТТІМО;шт;1;3.44;3.44;60.00;60.00
Повітряні зерна кук.СОЛОНІ негл. 20г*50/ТМ ОТТІМО;шт;1;3.44;3.44; ; 
Повітряні зерна кук.СОЛОНІ негл. 50г*30/ТМ ОТТІМО;шт;1;7.22;7.22;1.00;1.00
ПАРА ПЕРЦІВ;;;;;;
"АКЦІЯ!Лимонна кислота 20гр/300 в ящ. ""Пара перців""";шт;1;0.01;0.01;2.00;2.00
"Лавровий лист мелений 20гр/240 в ящ. ""Пара перців""";шт;1;1.50;1.50;242.00;242.00
МАНДРИ;;;;;;
"Лимонна кислота 20гр""Мандри""";шт;1;1.53;1.53; ; 
"Перець духмяний горошок15гр/20уп./200""Мандри""";шт;1;3.36;3.36;96.00;96.00
"Перець чорний мелений 20гр/20уп./240 ""Мандри""";шт;1;2.98;2.98;35.00;35.00
"Суміш перців  20гр/160 в ящ. ""Пара перців""";шт;1;2.00;2.00;161.00;161.00
ЧАЙ ТРИ СЛОНА;;;;;;
ТМ КРЕПКИЙ ДСТУ чорн байх лист 80гр картон*54шт;шт;1;10.86;10.86;105.00;105.00
ТМ Мономах ЕРЛ ГРЕЙ 25*2г*18шт;шт;1;16.32;16.32; ; 
Чай Три Слони  ф/п б/н 20*1,3гр*24ш;шт;1;6.74;6.74;43.00;43.00
Чай Три Слони Лісова Ягода ф/п б/н 20*1,3гр*24ш;шт;1;6.74;6.74; ; 
Кондитерські вироби;;;;;;
ВАВРИК ТМ;;;;;;
Baton Chio Chio цукерка 2,0 кг Vavryk&Co;кг;2;63.67;127.33;18.00;9.00
Baton Chio CHOKO цукерка 2,0 кг Vavryk&Co;кг;2;69.90;139.81;22.00;11.00
PICCOLO цук.зі смак.лісов.горіху 1,2 кг Vavryk&Co;кг;1.2;88.13;105.75; ; 
Sherwood цукерка  2,0 кг Vavryk&Co;кг;2;96.23;192.46; ; 
Бабусині смаколики цукерка  2,0 кг Vavryk&Co;кг;2;82.86;165.73; ; 
"Ваф.рулетики ванілін ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.рулетики згущене молок ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.рулетики пряжене мол. ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.рулетики шоколад ""Ролло""2,4 кг Vavryk&Co";кг;2.4;52.00;124.80; ; 
"Ваф.труб. ""Мііо-Нотті ""Згущ.молоко 2,0кгVavryk&Co";кг;2;55.32;110.65; ; 
"Ваф.трубочка ""Мііо "" з згущ. мол.  2,0кгVavryk&Co";кг;2;55.32;110.65; ; 
"Ваф.трубочка ""Мііо "" з Какао 2,0кгVavryk&Co";кг;2;55.32;110.65; ; 
"Ваф.трубочка ""Мііо "" з Халвою  2,0кгVavryk&Co";кг;2;55.32;110.65;2.00;1.00
"Ваф.трубочка ""Мііо ""Ваніль 2,0 кг Vavryk&Co";кг;2;55.32;110.65; ; 
Коко Джамбо цукерка  2,0 кг Vavryk&Co;кг;2;97.11;194.22;76.00;38.00
Султан Тан цукерка  2,0 кг Vavryk&Co;кг;2;84.08;168.16;28.00;14.00
ФАС Ваф.рулет. шоколад п/п уп. 200 г Vavryk&Co;шт;1;13.94;13.94;1.00;1.00
Цукерка Кара-Кум  2,0 кг Vavryk&Co;кг;2;95.09;190.19; ; 
Червоний мак цукерка 2,0 кг Vavryk&Co;кг;2;80.35;160.70; ; 
ЧІО ЧІО НАТ Батончик  2,0 кг Vavryk&Co;кг;2;64.31;128.63;4.00;2.00
ЧІО ЧІО НАТ Батончик глазуров. 2,0 кг Vavryk&Co;кг;2;75.90;151.79;56.00;28.00
ЧІО ЧІО САН 2,0 кг Vavryk&Cо;кг;2;75.33;150.66;4.00;2.00
ЖОРИК ОБЖОРИК;;;;;;
ВИСІВКОВЕ затяж. печиво 3,8кг/ Жор. Обж (82);кг;3.8;39.49;150.07;7.60;2.00
Всесвіт з цукром печив 3,5кг/Жор. Обж (177);кг;3.5;40.82;142.87;24.50;7.00
ДОБРИЙ ВЕЧІР цукр.з нач. печ.4,0кг/Жор. Обж(53);кг;4;46.69;186.75;20.00;5.00
ДОБРИЙ РАНОК цукр.з нач.гл печ.1,6кг/Жор. Обж(78);кг;1.6;64.67;103.48;32.00;20.00
ДОБРИЙ РАНОК цукр.з начин. печ.4,0кг/ЖорОбж(52);кг;4;46.69;186.75; ; 
Зай-і-Чик цукров. печиво 4,0кг/Жор. Обж.(10);кг;4;35.26;141.04;52.00;13.00
Зоосвіт затяж. печиво 2,0кг /Жор. Обж.(83);кг;2;41.86;83.72;2.00;1.00
Зустріч з ар. пряж мол.цукр.печив3,5кг/ЖорОбж(12т);кг;3.5;35.26;123.41;3.50;1.00
Каприз цукров. печиво 1,6кг/Жор. Обж.(152);кг;1.6;67.54;108.06;12.80;8.00
Малібу цукров. печиво 3,0кг/Жор. Обж.(26);кг;3;38.46;115.39;3.00;1.00
Марго затяж. печиво 3,0кг/Жор. Обж.(151);кг;3;71.21;213.62; ; 
Марія затяж. печиво 3,5кг/Жор. Обж.(90);кг;3.5;39.31;137.60; ; 
Мо-Жорик цукров. печиво 4,0кг/Жор. Обж.(14);кг;4;36.89;147.56;132.00;33.00
Молочне цукров. печиво 4,0кг/Жор. Обж.(13);кг;4;35.40;141.59;52.00;13.00
Мулатка затяж. з начин. печиво 1,1кг/ЖорОбж(169);кг;1.1;63.63;70.00;5.50;5.00
Мулатка затяж. з начин. печиво 2,8кг/ЖорОбж(168);кг;2.8;60.69;169.93;22.40;8.00
Парижанка з цукром печиво 2,7кг/Жор. Обж.(179);кг;2.7;42.49;114.72;64.80;24.00
Парижанка цукр.глаз. печиво 2,2кг/ЖорОбж(181);кг;2.2;62.95;138.49;15.40;7.00
Парижанка цукр.карам. з нач. печ.2,0кг/ЖорОбж(184);кг;2;51.17;102.34; ; 
ПИШКА затяж. печиво 3,0кг/Жорик Обжорик(84);кг;3;41.48;124.43;12.00;4.00
РІО КАКАО з начин. цукр. печиво 4,0кг/ЖорОбж(50);кг;4;48.99;195.98;24.00;6.00
РІО МОЛОКО з начин. цукр. печиво 4,0кг/ЖорОбж(49);кг;4;48.99;195.98;8.00;2.00
РІО МОЛОКО-КАКАО цукр.гл печ.2,0кг/ЖорОбж(64);кг;2;67.26;134.52; ; 
РІО МОЛОКО-КАКАОцукр.з нач.печ.1,5кг/Жорик Обжорик;кг;1.5;52.09;78.13;4.50;3.00
РІО МОЛОКО-КАКАОцукр.з нач.печ.4,0кг/Жорик Обжорик;кг;4;48.99;195.98; ; 
Сафарі цукров. печиво 4,0кг/Жор. Обж.(16);кг;4;35.27;141.10; ; 
Сімейне цукрове печиво 3,5кг/ЖорОбж(29);кг;3.5;38.31;134.10; ; 
Смаковниця цукрове печиво 2,8кг/ЖорОбж(33);кг;2.8;39.41;110.35; ; 
Соловушка цукрове печиво 4,0кг/ЖорОбж(76);кг;4;34.41;137.64;8.00;2.00
Солодка абетка цукр. з какао печ.2,5кг/ЖорОбж(24);кг;2.5;46.00;114.99;15.00;6.00
Солодка абетка цукр. печ.1,0кг/ЖорОбж;кг;1;47.52;47.52;5.00;5.00
Солодка абетка цукр. печ.2,4кг/ЖорОбж;кг;2.4;42.94;103.06; ; 
Солодка ніч цукр. з как печ.3,5кг/ЖорОбж(69);кг;3.5;52.36;183.27;10.50;3.00
Солодка ніч цукр. з мол. начин.3,5кг/ЖорОбж(68);кг;3.5;50.87;178.05;21.00;6.00
Тілі - Мілі цукр. глаз. печиво.1,6кг/ЖорОбж(79);кг;1.6;60.29;96.47;25.60;16.00
Тілі - Мілі цукрове печиво.3,0кг/ЖорОбж(34);кг;3;41.34;124.02; ; 
Трембіта цукр. з нач. глаз.печив 1,6кг/ЖорОбж(133);кг;1.6;70.55;112.88; ; 
Трубоч. вафел. Горішок 2,3кг/ЖорОбж(86);кг;2.3;62.30;143.30; ; 
Трубоч. вафел. З аромат карамелі 2,3кг/ЖорОбж(186);кг;2.3;56.76;130.55;13.80;6.00
Трубоч. вафел. Королівські 2,5кг/ЖорОбж(47);кг;2.5;59.96;149.91; ; 
Українське пісне цукр. печиво 3,5кг/ЖорОбж(40);кг;3.5;35.37;123.79;105.00;30.00
Фруктов.вальс абрик. цукр. печ.3,5кг/ЖорОбж(60);кг;3.5;49.30;172.54;63.00;18.00
Фруктов.вальс вишня цукр гл печ2,4кг/ЖорОбж(63);кг;2.4;67.12;161.10;50.40;21.00
Фруктов.вальс вишня цукр з нач печ3,5кг/ЖорОбж(54);кг;3.5;49.30;172.54;59.50;17.00
Фруктов.вальс полун. цукр. печ.3,5кг/ЖорОбж(59);кг;3.5;49.30;172.54;10.50;3.00
Хуторянка цукрове печиво 4,0кг/ЖорОбж(77);кг;4;33.66;134.63; ; 
Чайне з аром.лимон. цукр. печ 4,0кг/ЖорОбж(22л);кг;4;36.26;145.04;4.00;1.00
Чайне з аром.пряж. мол.печ 1,8кг/ЖорОбж;кг;1.8;39.19;70.54;10.80;6.00
Чайне з аром.пряж. мол.печ 4,0кг/ЖорОбж;кг;4;36.26;145.04; ; 
Черепашка Тортіла цукр. печиво 3,0кг/ЖорОбж(41);кг;3;38.79;116.38;12.00;4.00
яФасовка;;;;;;
Рідний край цукр печ.130г*32шт/Жор.Обж(138);шт;1;6.57;6.57;60.00;60.00
ЗАХІД ТОРГ;;;;;;
Жув. Boomer супергер. Тату Кавун 20г*24б*20ш/ЗАХІД;блок;1;116.93;116.93; ; 
Жув.гум Stimorol original Кавун 10г*30б*20ш/ЗАХІД;блок;1;100.49;100.49;1.00;1.00
Жув.гум Stimorol полуниця 10г*30б*20ш/ЗАХІД;блок;1;100.49;100.49;1.00;1.00
Жув.гум Хуба буба 5пл.Турб Микс 10г*30бл*20ш/ЗАХІД;блок;1;95.00;95.00;6.00;6.00
Жув.гумк в банке TURBO с наклейк 4г*6бл*300ш/ЗАХІД;блок;1;314.50;314.50;4.00;4.00
Жув.гумк Хуба буба Турбо Микс 10г*30бл*20ш/ЗАХІД;блок;1;90.32;90.32; ; 
Жув.гумка Centr shock Апель кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;1.00;1.00
Жув.гумка Centr shock Кавун кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;10.00;10.00
Жув.гумка Centr shock Полун.кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;9.00;9.00
Жув.гумка JAW Craker тути-фрут24г*12бл.*24шт/ЗАХІД;блок;1;112.90;112.90;12.00;12.00
Жув.гумка Love is Нептун накл 4г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;10.00;10.00
Жув.цук Love is 8*40 фрукт+тат20г*8бл.*40шт/ЗАХІД;блок;1;169.34;169.34;1.00;1.00
Жув.цукерка Електро Шок  5г*20бл.*60шт/ЗАХІД;блок;1;82.25;82.25;4.00;4.00
Жуйка Веселий кавун  4,5г*15бан*150шт/ЗАХІД;блок;1;132.32;132.32;2.00;2.00
Леденець на палич.Фрутов Микс 13г*12бл.*48шт/ЗАХІД;блок;1;254.45;254.45;1.00;1.00
Лед-ць газиров НЕОН+сяюча пал.10г*24бл.*30шт/ЗАХІД;блок;1;114.51;114.51;1.00;1.00
Пузирі громадна палка 40см*6уп*24шт/ЗАХІД;блок;1;612.86;612.86;2.00;2.00
Пузирі класичні 40мл*16уп*15шт/ЗАХІД;блок;1;87.70;87.70;1.00;1.00
Цукерка Токсическ.слизь кисла 25г*30бл.*20шт/ЗАХІД;блок;1;88.66;88.66;8.00;8.00
Ласощі;;;;;;
Карамель Ласощі Барбариска 2,5кг/ 37 Ласощі/9міс;кг;2.5;50.31;125.78;5.00;2.00
Карамель Ласощі Дюшес 2,5кг/ 38 Ласощі/9міс;кг;2.5;50.31;125.78;10.00;4.00
Карамель Ласощі М`ятна 2,5кг/ 40 Ласощі/9міс;кг;2.5;50.31;125.78;10.00;4.00
Карамель Фрутт. Мікс з начин.Фас 4*1кг/Ласощі/9міс;кг;1;51.94;51.94;280.00;280.00
Фруктово-ягідна в цукрі 2,5кг/ Ласощі/міс;кг;2.5;48.10;120.25;2.50;1.00
ЛІСОВА КАЗКА;;;;;;
WHIMSY банан (Смешарики) ВАФ.ц-ки 2,2кг /ТМ ЛК;кг;2.2;81.19;178.62;8.80;4.00
WHIMSY зі смаком Паннакотти ц-ки 2,2кг /ТМ ЛК;кг;2.2;76.94;169.26;2.20;1.00
WHIMSY зі смаком Шарлотки ц-ки 2,2кг /ТМ ЛК;кг;2.2;76.94;169.26;2.20;1.00
WHIMSY молочні  (Фіксики) ВАФ.ц-ки 2,2кг /ТМ ЛК;кг;2.2;81.19;178.62;28.60;13.00
Ананасні цукерки екран 2,2кг /ТМ ЛК;кг;2.2;78.79;173.35; ; 
Вафлі Артек ЕКРАН 3,5 кг  /ТМ ЛК;кг;3.5;50.46;176.63; ; 
Вафлі Артек Харківський 3,5 кг  /ТМ ЛК;кг;3.5;48.45;169.58;3.50;1.00
Вафлі Лісові з аром. лимона 3,5 кг  /ТМ ЛК;кг;3.5;49.07;171.75; ; 
Вафлі Лісові з аром. лимона 6,0 кг /ТМ ЛК;кг;6;48.38;290.25; ; 
Ведмедик клишоногий  цукерки ваф.2,2кг екр. /ТМ ЛК;кг;2.2;76.94;169.26;6.60;3.00
Веселий гулівер цукерки 2,2кг /ТМ ЛК;кг;2.2;73.92;162.62; ; 
Веселий гулівер цукерки екран 2,2кг /ТМ ЛК;кг;2.2;74.92;164.83;2.20;1.00
Гулівер Мандрівник ваф. цукерки 2,2кг /ТМ ЛК;кг;2.2;68.73;151.21;138.60;63.00
Драже кремове 3*1кг/3кг  /ТМ ЛК;кг;1;169.43;169.43;222.00;222.00
Драже молочно-шоколадим 4*1кг/4кг/ТМ ЛК;кг;1;263.08;263.08; ; 
Зефір жув. Тучки ароматиз. глазур. 1,05кг  /ТМ ЛК;кг;1.05;106.73;112.07;4.20;4.00
Зефір жув. Тучки-Штучки аром. 1,2кг  /ТМ ЛК;кг;1.2;97.06;116.47; ; 
Зірочки Бекон фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;39.86;47.83; ; 
Кільця ГРИБИ  фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;39.86;47.83; ; 
Крекер брезель з сіллю 1,5кг /ТМ ЛК;кг;1.5;57.35;86.03;6.00;4.00
Кульок МЯСО фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;39.86;47.83; ; 
Лісова казка цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;67.57;148.65; ; 
Мультісі КОКОС-ВЕРШКИ цукерки ваф.екр.2,2кг /ТМ ЛК;кг;2.2;76.94;169.26;26.40;12.00
Новорічна ніч вафельн. ц-ки глазур. 2,2кг /ТМ ЛК;кг;2.2;71.21;156.66; ; 
Пастушок Джотто ваф. цукерки 2,2кг /ТМ ЛК;кг;2.2;71.21;156.66;8.80;4.00
Печиво Союзне ваг.3,0кг /ТМ ЛК;кг;3;55.81;167.42; ; 
Подарун. від Микол з аром.чорниц ц-ки 2,2кг /ТМ ЛК;кг;2.2;71.21;156.66; ; 
Подушечки  круп'яні  банан  1,8кг /ТМ ЛК;кг;1.8;55.81;100.45; ; 
Подушечки круп'яні  шоколад 1,8кг /ТМ ЛК;кг;1.8;55.81;100.45; ; 
Супермультісі асорті  цукерки 6*1,0кг/6кг /ТМ ЛК;кг;1;74.77;74.77;9.00;9.00
Трубочки ваф. Молочні 2,5кг /ТМ ЛК;кг;2.5;64.94;162.35;27.50;11.00
Трубочки круп Чорного шок. та молока  2,0кг /ТМ ЛК;кг;2;63.78;127.56;10.00;5.00
Трубочки круп. Кави та молока  2,0кг /ТМ ЛК;кг;2;60.59;121.18; ; 
Трубочки круп. Чорного шок. та вишні  2,0кг /ТМ ЛК;кг;2;60.60;121.21; ; 
Трубочки круп. ШОКОЛАД 2,6кг /ТМ ЛК;кг;2.6;79.72;207.28;5.20;2.00
Трубочки круп.ПЛОМБІР 1,7кг /ТМ ЛК;кг;1.7;60.14;102.24;1.70;1.00
Трубочки круп.ПЛОМБІР 2,6кг /ТМ ЛК;кг;2.6;79.72;207.28; ; 
Трубочки круп.ШОКОЛАД  1,7кг /ТМ ЛК;кг;1.7;60.14;102.24;10.20;6.00
Тузик цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;71.44;157.17;26.40;12.00
"Фруктозаврики асорті цукерки жув.6*1;6кг /ТМ ЛК";кг;1;82.82;82.82;6.00;6.00
Цукерки жуйні ФіксіМіх 6*1кг/6кг  /ТМ ЛК;кг;1;90.48;90.48;10.00;10.00
Чарівне більчатко з арах. ц-ки екран 2,2кг /ТМ ЛК;кг;2.2;81.19;178.62; ; 
Чарівниця зима ваф. ц-ки глазур. 2,2кг /ТМ ЛК;кг;2.2;71.21;156.66;48.40;22.00
Шиколетто згущ.молоко  цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;71.44;157.17;41.80;19.00
Шиколетто какао цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;71.44;157.17;22.00;10.00
Яринка цукерки верш-полун. смак. 2,2кг /ТМ ЛК;кг;2.2;67.57;148.65;19.80;9.00
яфасовка;;;;;;
АКЦІЯ ЗефЖувЗефирозив пол+бан4*(20*15г)1,2кг/ТМ ЛК;блок;1;0.01;0.01;32.00;32.00
"АКЦІЯДраже молочно-шоколадим см.20*150г;3кг /ТМ ЛК";шт;1;0.01;0.01;15.00;15.00
Веселий гулівер цукерки 12* 0,500 кг /ТМ ЛК;шт;1;42.76;42.76;30.00;30.00
"Драже горіхове  20*150г;3кг /ТМ ЛК";шт;1;49.07;49.07;22.00;22.00
"Драже молочно-шоколадим см. 20*150г;3кг /ТМ ЛК";шт;1;49.07;49.07;41.00;41.00
"Драже молочно-шоколадим см. 50*50г;2,5кг /ТМ ЛК";шт;1;18.19;18.19;112.00;112.00
Зеф.Жув.MiniSnowMall пломб,ваніл 5*0.6кг*3кг/ТМ ЛК;шт;1;104.44;104.44;3.00;3.00
ЗефЖув.Сonf.Marsh.popsПЕРСИК3*(12*35г)1,26кг/ТМ ЛК;блок;1;171.83;171.83;2.00;2.00
ЗефЖувСonf.Marsh.popsСЕНДВІЧ3*(12*35г)1,26кг/ТМ ЛК;блок;1;171.83;171.83; ; 
Зефір жув. Mini Mallows пломбір 4*0.8кг*3,2к/ТМ ЛК;шт;1;132.63;132.63; ; 
Зефір жув. Multicored аром. 5*0.6кг*3кг/ТМ ЛК;шт;1;111.41;111.41; ; 
Зефір жув. Вес.пружин.ПОЛУН.12*0,200/2.4кг  /ТМ ЛК;шт;1;18.48;18.48; ; 
Зефір жув. Вес.пружин.ПОЛУН.20*0,075/1,5кг  /ТМ ЛК;шт;1;8.01;8.01; ; 
"Зефір жув. Тучки-штучки аромат.12*200г;2,4кг/ТМ ЛК";шт;1;19.41;19.41; ; 
"Зефір жув. Тучки-штучки аромат.20*75г;1,5кг /ТМ ЛК";шт;1;8.01;8.01; ; 
Зефір жув.Барбекю ван.8*0,25кг /2кг/ТМ ЛК;шт;1;24.26;24.26; ; 
"Зефір жув.Дозки Confectum ар.16*62.5г; 1кг /ТМ ЛК";шт;1;5.81;5.81; ; 
"Зефір жув.Дозки аромат.20*50г; 1кг /ТМ ЛК";шт;1;6.19;6.19; ; 
Зефір жув.Дозки аромат.6*(6*50г) 1,8кг /ТМ ЛК;блок;1;34.44;34.44; ; 
Зефір жув.Зефирозиво пол.+бан4*(20*15г)1,2кг/ТМ ЛК;блок;1;72.76;72.76;19.00;19.00
Зефір жув.Пружинка ПЕРСИК 4-(20*15г) 1,2кг /ТМ ЛК;блок;1;66.56;66.56;8.00;8.00
Зефір жув.Пружинка ПОЛУНИЦЯ4-(20*15г) 1,2кг /ТМ ЛК;блок;1;66.56;66.56;8.00;8.00
Зефір жув.Фіксі Mallows абрикос 24*30г*0,720/ТМ ЛК;шт;1;4.95;4.95; ; 
Зефір жув.Фіксі Mallows пломбір 24*30г*0,720/ТМ ЛК;шт;1;4.95;4.95; ; 
Зефір жув.Фіксі Mallows полун. 24*30г*0,720/ТМ ЛК;шт;1;4.95;4.95;5.00;5.00
Зефір.жув. Крейдочки суниця (12*0,2г) 2,4кг/ТМ ЛК;шт;1;19.41;19.41; ; 
Зефір.жув. Крейдочки суниця 20*0,075г, 1,5кг/ТМ ЛК;шт;1;8.01;8.01; ; 
"Карамель льод.Фіксики"" 8-0,9кг(30*30г) 7,2кг/ТМ ЛК";блок;1;126.94;126.94; ; 
Крекер брезель СІЛЬ  20*200 г*4кг/ТМ ЛК;шт;1;14.40;14.40; ; 
Крекер брезель солодкий 25*40 г*1кг/ТМ ЛК;шт;1;4.33;4.33;15.00;15.00
Набір зеф.жув Асортимент №2 21*0,75кг*1,575 /ТМ ЛК;шт;1;7.26;7.26; ; 
"Набір подарунк. ""Ліхтарик""4*0,5кг; 2кг/ТМ ЛК";шт;1;98.92;98.92;7.00;7.00
"Набір подарунк. ""Супер Кейс"" 11*110г;1,21кг/ТМ ЛК";шт;1;28.64;28.64; ; 
"Набір подарунк. ""Фіксики"" 6*275г;1,65кг/ТМ ЛК";шт;1;63.93;63.93; ; 
"Набір подарунк.""Теремок"" 6*350г; 2,1кг/ТМ ЛК";шт;1;68.58;68.58; ; 
"Набір подарунк.""Ялинка"" 16*200г; 3,2кг/ТМ ЛК";шт;1;46.59;46.59; ; 
Торт НАТУСІК фундук 6*(12*45г)-3,24кг  /ТМ ЛК;блок;1;68.73;68.73;7.00;7.00
Тортік НАТУТІК з фундуком 6*(12*45г)-3,24кг /ТМ ЛК;блок;1;63.16;63.16; ; 
