Прайс на дату: 08.07.18;;;;;;
Name;unit;packaging ;priceForUnit;priceForPacaging;stockBalanceInUnit;stockBalanceInPacaging
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
"Джанго Лимон фас. 175г*34уп. ""Диканське""";шт;1;6.24;6.24;3.00;3.00
"Диканське з родзинками фасоване 290г*24уп  ""Диканс";шт;1;11.10;11.10;69.00;69.00
"Диканське фасоване 130г*45уп  ""Диканське";шт;1;4.46;4.46;148.00;148.00
"Інь-янь фас. 143г*42уп. ""Диканське""";шт;1;6.01;6.01;24.00;24.00
"Кукурузка фасована 300г*21уп. ""Диканське""";шт;1;11.18;11.18;47.00;47.00
"Ліро Ірис фас. 145г*42уп. ""Диканське""";шт;1;6.97;6.97;20.00;20.00
"Малюки фасоване 240г*27уп. ""Диканське""";шт;1;8.59;8.59;48.00;48.00
"Насолода фас. 125г*35уп. ""Диканське""";шт;1;4.58;4.58; ; 
"Поцілунки фас. 180г*36уп. ""Диканське""";шт;1;7.86;7.86;54.00;54.00
"Фруктінка фасоване 162г*42уп  ""Диканське";шт;1;7.81;7.81;233.00;233.00
ЗАХІД ТОРГ;;;;;;
Вертолет светящ.+жув.конф.4г*12бл.*24шт/ЗАХІД;блок;1;193.54;193.54;3.00;3.00
Драже Сніжок (аналог Тік-Тік) 15г*12бл.*50шт/ЗАХІД;блок;1;161.28;161.28;11.00;11.00
Драже шок. драже з печ. М&Mdms 4г*20бл.*30шт/ЗАХІД;блок;1;159.67;159.67;12.00;12.00
Жув.гум Stimorol Aif-kiss пластин 1г*24б*48ш/ЗАХІД;блок;1;147.16;147.16;24.00;24.00
Жув.гум Stimorol original Кавун 10г*30б*20ш/ЗАХІД;блок;1;100.49;100.49;8.00;8.00
Жув.гум Stimorol original м'ята 10г*30б*20ш/ЗАХІД;блок;1;100.49;100.49;30.00;30.00
Жув.гум Stimorol полуниця 10г*30б*20ш/ЗАХІД;блок;1;100.49;100.49;7.00;7.00
Жув.гум Хуба буба 5пл.Турб Микс 10г*30бл*20ш/ЗАХІД;блок;1;90.32;90.32;6.00;6.00
Жув.гумк в банке TURBO с наклейк 4г*6бл*300ш/ЗАХІД;блок;1;314.50;314.50;5.00;5.00
Жув.гумка Centr shock Апель кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;10.00;10.00
Жув.гумка Centr shock Кавун кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;21.00;21.00
Жув.гумка Звірополіс наклей.3,5г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;3.00;3.00
Жув.гумка Минекрафт наклейк 3,5г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;3.00;3.00
Жув.гумка Міньйони наклейк 3,5г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;3.00;3.00
Жув.гумка Нінзяга наклейк 3,5г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;1.00;1.00
Жув.гумка Тачки наклей.3,5г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;5.00;5.00
Жув.гумка Фіксики наклейк 3,5г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;3.00;3.00
Жув.цук Love is 10*100фр+тат10г*10бл.*100шЗАХІД;блок;1;232.24;232.24;10.00;10.00
Жув.цук Мини Юм 6,7г*8бл.*120шт/ЗАХІД;блок;1;145.15;145.15;10.00;10.00
Жув.цукерка Електро Шок  5г*20бл.*60шт/ЗАХІД;блок;1;82.25;82.25;25.00;25.00
Жуйка Дабл Бабл 8шт в блист. 22г*12бл.*40шт/ЗАХІД;блок;1;185.47;185.47;6.00;6.00
Жуйка Сигарета карандаш +раскр.4г*12бл.*150шЗАХІД;блок;1;129.02;129.02;7.00;7.00
Зуби Джелоппі жув.марм. 600г*12бан./ЗАХІД;блок;1;101.09;101.09;5.00;5.00
Леденци ЗИДРА  неонов.палочка 10г*6бл.*100шт/ЗАХІД;блок;1;368.06;368.06;1.00;1.00
Лимбо мини фр.асорТрансформер10г*10бл.*100шт/ЗАХІД;блок;1;222.57;222.57;7.00;7.00
Льодяник Помадка модна+ліхта.5г*24бл*30шт/ЗАХІД;блок;1;104.83;104.83;23.00;23.00
Мармеладное асорти Джелопи 25г*8бл*36шт/ЗАХІД;блок;1;151.20;151.20;5.00;5.00
Мармеладное асорти Радуга 25г*12уп*36шт/ЗАХІД;блок;1;145.15;145.15;7.00;7.00
Мильні бульбашки 30см +цук.драж30г*6бл.*24шт/ЗАХІД;блок;1;290.30;290.30;1.00;1.00
Морска звезда мармел.фиг.10г*8бан*100шт/ЗАХІД;блок;1;187.49;187.49;1.00;1.00
Очки Светящ.+Тату стр.к-ль 1г*15бл.*20шт/ЗАХІД;блок;1;154.83;154.83;17.00;17.00
Пузирі класичні 40мл*16уп*15шт/ЗАХІД;блок;1;87.70;87.70;29.00;29.00
Пузирі мал.інстременти 17см *20уп*30шт/ЗАХІД;блок;1;154.83;154.83;9.00;9.00
Скелет Вирастайка +хлоп.караме1г*24бл.*24шт/ЗАХІД;блок;1;137.08;137.08;24.00;24.00
Скелетон светящ. леденець 12г*24бл.*30шт/ЗАХІД;блок;1;127.01;127.01;10.00;10.00
Стильные часики браслет драже 6г*20бл.*40шт/ЗАХІД;блок;1;94.65;94.65;7.00;7.00
Суперхитовий спиннер + драже 1г*24бл.*30шт/ЗАХІД;блок;1;112.90;112.90;16.00;16.00
Турбо машинка фігур.KING EGGG 15г*12бл.*15шт/ЗАХІД;блок;1;161.28;161.28;12.00;12.00
Турбо спиннер + драже 2г*24бл.*30шт/ЗАХІД;блок;1;112.90;112.90;17.00;17.00
Фруктовий желейний МІКС 15г*12бл.*48шт/ЗАХІД;блок;1;229.82;229.82;8.00;8.00
Цукерка Токсическ.слизь кисла 25г*20бл.*30шт/ЗАХІД;блок;1;133.05;133.05;39.00;39.00
Чарівні магнити+стр.карамель 1г*12бл.*36шт/ЗАХІД;блок;1;310.46;310.46;4.00;4.00
Шалений попригун +фрук.драже 2г*12бл.*24шт/ЗАХІД;блок;1;169.34;169.34;3.00;3.00
Шокол.яйце Модн.девоч.KING EGG 8г*6бл.*60шт/ЗАХІД;блок;1;290.30;290.30;6.00;6.00
Яйцо Love is King Egg  15г*12бл.*24шт/ЗАХІД;блок;1;165.31;165.31;1.00;1.00
Ласощі;;;;;;
Карамель Дюшес 2,5кг/ 38 Ласощі/9міс;кг;2.5;44.98;112.45;17.50;7.00
Карамель Злітна 2,5кг/ 43 Ласощі/9міс;кг;2.5;44.98;112.45;7.50;3.00
Карамель Клеопатра Мікс фас W 4*1кг/Ласощі/9міс;кг;1;46.93;46.93;16.00;16.00
