Прайс на дату: 08.07.18;;;;;;
Name;unit;packaging ;priceForUnit;priceForPacaging;stockBalanceInUnit;stockBalanceInPacaging
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Жуйка- Краска Бай Балон Полуниця 6гр*24бл*40шт;блок;1;57.06;57.06;7.00;7.00
Жуйка Крезі з великою ТАТУ  2,5гр*24бл*100штФараон;блок;1;54.10;54.10;10.00;10.00
Жуйка Лав із Апельсин-Ананас Кент 4,2гр*20бл*100шт;блок;1;117.37;117.37;4.00;4.00
Жуйка Лав із Полуниця-Банан Кент 4,2гр*20бл*100шт;блок;1;117.37;117.37;15.00;15.00
Жуйка ЛюбовЦе Виногр-Ваніль4,2гр*20бл*100штФараон;блок;1;60.88;60.88;12.00;12.00
Жуйка Назар Ожина 5гр*20бл*100шт Фараон;блок;1;92.38;92.38;7.00;7.00
Жуйка О Фреш Дисплей  Асорті 5гр*40бл*50шт Фараон;блок;1;51.08;51.08;19.00;19.00
Жуйка Олівець Райдуга 15гр*24шт*12 бл Фараон;блок;1;112.30;112.30;6.00;6.00
Жуйка Шок Шок Вишня 4гр*20бл100шт Фараон;блок;1;79.18;79.18;16.00;16.00
Жуйка Шок Шок Лимон 4гр*20бл100шт Фараон;блок;1;79.18;79.18;20.00;20.00
Жуйка Шок Шок Полуниця 4гр*20бл100шт Фараон;блок;1;79.18;79.18;17.00;17.00
Жуйка Шок Шок Яблоко 4гр*20бл100шт Фараон;блок;1;79.18;79.18;17.00;17.00
Жуйка-пласт. Pepermint 3,5гр*12бл*100штФараон;блок;1;82.64;82.64;4.00;4.00
Жуйка-пласт. Повергум Кавун 3гр*6бан*300штФараон;блок;1;209.60;209.60;5.00;5.00
Жуйка-пласт. Повергум Мята  3гр*6бан*300штФараон;блок;1;209.60;209.60;2.00;2.00
Кислиця Асорті Саадет 3,5гр*20бл*100штФараон;блок;1;69.55;69.55;10.00;10.00
Кислиця Кола Саадет 3,5гр*20бл*100штФараон;блок;1;69.55;69.55; ; 
Кислиця Полуниця Саадет 3,5гр*20бл*100штФараон;блок;1;69.55;69.55;14.00;14.00
Льодяник Неон Газировка 10гр*24бл*30шт Фараон;блок;1;111.15;111.15;66.00;66.00
Мармел. Стрічка Полун.Юмі Гум15гр*12бл*48шт Фараон;блок;1;119.97;119.97;9.00;9.00
Мармел. СтрічкаТуті-Фр Юмі Гу15гр*12бл*48шт Фараон;блок;1;119.97;119.97;7.00;7.00
Мармеладна Пал. Асор БЕЗ ЦУКР10гр*8бл*150шт Фараон;блок;1;190.19;190.19;4.00;4.00
Мармеладна Палочк Мал.-Ожина 20гр*12бл*24шт Фараон;блок;1;112.91;112.91;12.00;12.00
Мармеладна Палочк Туті-Фруті20гр*12бл*24шт Фараон;блок;1;112.91;112.91;11.00;11.00
Мармеладна Палочка Асор./ЦУКР10гр*8бл*150шт Фараон;блок;1;190.19;190.19;7.00;7.00
Мармеладна Стрічка мікс ЦУКР 10гр*8бл*150шт Фараон;блок;1;190.19;190.19;8.00;8.00
Ц-ка на пал.Парті Тайм Кавун 16гр*6бл*100штФарао;блок;1;206.21;206.21;1.00;1.00
Ц-ка на пал.Супер Гум Асорті 16гр*6бл*100штФарао;блок;1;206.21;206.21;6.00;6.00
Червяки Саадет Джелоппі 12бан*600гр Фараон;блок;1;108.68;108.68;8.00;8.00
Яйце cюрприз Асорті ANL25гр*6бл*24шт Фараон;блок;1;148.01;148.01;8.00;8.00
Яйце King Egg LOVE 15гр*12бл*24шт Фараон;блок;1;173.88;173.88;2.00;2.00
Яйце сюрприз Щаслива Пасха 25г*6бл*24шт Фараон;блок;1;175.78;175.78;0.58;0.58
Яйце шок. Пасхальне Мі В ВІТАЮ 60г*3бл*24шт Фараон;шт;1;15.95;15.95;1.00;1.00
ШОКОЛАДНО;;;;;;
Crocant цукерки вагові 1,7кг Шоколадно 6 мес;кг;1.7;79.67;135.44;11.90;7.00
Natella Golden nuts ц-ки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;87.39;148.57;42.50;25.00
Praline Coffee Cream ц-ки ф/п 1.5 кг Шоколадно;кг;1.5;91.21;136.82;13.50;9.00
Praline Cream  ц-ки ф/п 1.5 кг Шоколадно;кг;1.5;89.29;133.94;7.50;5.00
"Provance ""ФАС"" цукерки ф/п 12*0,150 кг Шоколадно 6";кг;0.15;200.27;30.04;3.15;21.00
"Provance ""ФАС"" цукерки ф/п 12*0,200 кг Шоколадно 6";кг;0.2;192.66;38.53;3.60;18.00
"Provance ""ФАС"" цукерки ф/п 12*0,250 кг Шоколадно 6";кг;0.25;157.70;39.43;0.75;3.00
Provance цукерки ф/п 1.7 кг Шоколадно;кг;1.7;95.72;162.73;37.40;22.00
Sherry Апельс.трюфель ц- ки 1,5кг Шоколадно 6 мес;кг;1.5;91.21;136.82;13.50;9.00
Sherry Вишнев.трюфель ц- ки 1,5кг Шоколадно 6 мес;кг;1.5;91.21;136.82;7.50;5.00
Shoki  ц- ки (вагові) 2,0кг Шоколадно 6 мес;кг;2;85.06;170.12;14.00;7.00
Smaki  ц- ки (вагові) 2,0кг Шоколадно 6 мес;кг;2;85.06;170.12;16.00;8.00
VinSento цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;88.69;150.77;11.90;7.00
Бонайро  цукерки (вагові)  1.5 кг Шоколадно;кг;1.5;91.21;136.82;6.00;4.00
Ваф.десерт Паленсо мол-верш.(ваг)2,5кг Шоколадно;кг;2.5;79.24;198.10;12.50;5.00
Веласко цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;101.08;171.84;18.70;11.00
Вершковий кокт. Бан.-Шок. цук ф/п1 ,7кгШоколадно;кг;1.7;82.88;140.90;20.40;12.00
Вершковий кокт. Пол-Вершки цук ф/п1 ,7кгШоколадно;кг;1.7;82.88;140.90;11.90;7.00
Вершковий кокт. Фіст-Карам. цук ф/п1 ,7кгШоколадно;кг;1.7;82.88;140.90;20.40;12.00
Гуцулочка цукерки (вагова) 1,7кг Шоколадно 6 мес;кг;1.7;75.83;128.91;10.20;6.00
Даринка цукерки (вагова)1,7кг Шоколадно 6 мес;кг;1.7;73.24;124.51;10.20;6.00
Кармель цукерки (ваг)1,7кг Шоколадно 6 мес;кг;1.7;91.21;155.06;13.60;8.00
Кокос.десерт Бамбу ц-ки (ваг)1,7кг Шоколадно 6 мес;кг;1.7;87.39;148.57;35.70;21.00
Метеорит цукерки (вагова)1,7кг Шоколадно 6 мес;кг;1.7;89.46;152.08;17.00;10.00
Мигдалинка крем-брюле глаз. цукерки ф/п 1,7кг Шоко;кг;1.7;79.65;135.41;35.70;21.00
Мигдалинка мол.-шок. глаз.цук ф/п 1,7кг Шоколадно;кг;1.7;80.96;137.64;45.90;27.00
Нівушка цукерки ф/п 1,7кг Шоколадно;кг;1.7;82.26;139.84;34.00;20.00
Облатки Вершки-полуниця ф/п 1,1кг Шоколадно;кг;1.1;83.37;91.71;1.10;1.00
Облатки Вершково-молочн.. смак ф/п 1,1кг Шоколадно;кг;1.1;83.37;91.71;3.30;3.00
Фрукт. грильяж  Чорнослив ц-ки ф/п 1,7кг Шоколадно;кг;1.7;83.49;141.94;22.10;13.00
Фрукт. грильяж Курагой ц-ки ф/п 1,7кг Шоколадно;кг;1.7;80.96;137.64;18.70;11.00
"Цукерки ""Candy  mix"" 12*300г/ Шоколадно 6 мес";кг;0.3;166.12;49.84;2.10;7.00
Цукерки Паленсо bar  22*125г/ Шоколадно 6 мес;кг;0.125;165.41;20.68;5.50;44.00
ШОКОЛАДНО ПЕЧИВО;;;;;;
Казкове з см. віден.штруд.ваг 1.4 кг Шоколадно;кг;1.4;57.80;80.92;1.40;1.00
Трюфелі з арахісом печиво ваг 1.4 кг Шоколадно;кг;1.4;62.79;87.91;7.00;5.00
Фрукт.грил.+ар+курага.ваг Печиво 1.5 кг Шоколадно;кг;1.5;69.55;104.32;18.00;12.00
Фрукт.грил.+ар+чорнос.ваг Печиво 1.5 кг Шоколадно;кг;1.5;57.80;86.70;16.50;11.00
Цукровий хрустик печиво 1.3 кг Шоколадно;кг;1.3;53.98;70.17;13.00;10.00
Шоколадно з шок-гор. Печиво 1.4 кг Шоколадно;кг;1.4;66.81;93.54;5.60;4.00
Шоколадно з шок-гор.Печиво 0,3 кг*10уп/ Шоколадно;шт;1;9.92;9.92;30.00;30.00
